text,created_at,favorite_count,retweet_count,lang
"I took a pill in Ibiza 
To show Avīci i was cool",2016-03-25 16:51:31,1,0,en
How much is inferred,2016-03-23 20:14:52,0,0,en
"ESTRAGON: I can't go on like this.
VLADIMIR: That's what you think.",2016-03-20 14:18:38,1,0,en
I don't personally like suit jackets anymore,2016-03-20 02:42:53,5,0,en
"No, yeah",2016-03-20 02:31:27,0,0,en
"Detroit, MI LOL",2016-03-20 01:51:19,2,0,ht
Shrimp nibblers white castle,2016-03-18 17:56:26,0,0,en
For instance,2016-03-18 17:22:55,1,0,en
"Upset 2day,",2016-03-18 17:19:36,0,0,en
"Forthcoming in my condemnations of popular culture, nothing new, nothing changes",2016-03-18 17:16:20,1,0,en
"It's just hard. There isn't enough. There isn't even supposed to be enough. It's just life, it's hard.",2016-03-18 17:11:44,4,0,en
Which is why I just want to open a dispensary and sell weed all day and say Fuck it. At least there's some decent money in weed.,2016-03-18 16:59:13,1,0,en
"Work enough shitty jobs and you start to get a picture.
It's the same everywhere.
It's even worse, elsewhere, actually.",2016-03-18 16:52:00,5,0,en
"When I was younger, still in school, I felt talented and optimistic. Then I entered the workforce. Now I'm a cynic.",2016-03-18 16:49:43,2,1,en
"I've been living paycheck to paycheck ever since I got out of college. I've never made enough money, and have relied and parents and friends",2016-03-18 16:48:19,3,0,en
Stuck in a game you don't respect? Go ahead and break rules then.,2016-03-18 16:40:03,2,1,en
What's going to happen to the economy when we all default on our student loans,2016-03-18 16:39:23,1,0,en
The blight in detroit,2016-03-16 15:47:37,1,0,en
I used to dream but now I'm just sleep,2016-03-16 15:37:22,4,1,en
Half-decent,2016-03-15 18:23:39,0,1,en
All I've done today is cut like 500 sheets of paper in half and got lunch,2016-03-15 18:18:48,5,0,en
U miss 100% of the shots u don't gay,2016-03-15 15:03:08,4,2,en
2chainz!,2016-03-15 01:37:44,0,0,en
"just rememberd when soulja boy told them,",2016-03-13 05:45:27,2,1,en
"this year, we decided to try something crazy. we're letting the memes decide the election!",2016-03-13 05:44:21,4,2,en
"ok i'll help u out this time, but this is my own personal meme and u better not come around here asking to borrow any more! not a charity!",2016-03-13 05:41:53,1,0,en
1,2016-03-13 05:40:03,0,0,und
ＧＭＡＩＬ ＨＯＴＫＥＹ ＩＮＦＯＧＲＡＰＨＩＣ ＩＮ ＲＥＡＬ ＴＩＭＥ,2016-03-13 05:37:43,1,0,en
"ＮＥＴＦＬＩＸ ＯＢＡＭＡ ＫＵＳＨ
ＮＥＴＦＬＩＸ ＯＢＡＭＡ ＫＵＳＨ
ＮＥＴＦＬＩＸ ＯＢＡＭＡ ＫＵＳＨ
ＮＥＴＦＬＩＸ ＯＢＡＭＡ ＫＵＳＨ",2016-03-13 05:36:24,4,1,de
i would like u to know that after reading ur hot takes and quik tips i was able to turrn my life around and even open up my small business!,2016-03-13 05:35:06,4,0,en
ＪＥＢ ＢＵＳＨ ４２０,2016-03-13 05:33:46,3,0,en
a profound usage of emoji,2016-03-13 05:31:32,1,1,en
Hemp me some cash,2016-03-13 05:29:22,0,0,en
"what do you mean your out of memes
dont fuck with me, dude im not in the mood",2016-03-13 05:28:46,2,0,en
"holy fuck that was a good meme, do you have any more?",2016-03-13 05:26:20,3,0,en
"concept weed: it gets you high like the other weeds, except even better (?)",2016-03-13 05:24:19,3,0,en
there isn't anything wrong with being dispassionate at all,2016-03-13 05:20:39,1,0,en
kardashiaing up with the keeping ins,2016-03-13 05:19:10,1,1,en
ＮāＧāＲＪＵＮＡ,2016-03-13 05:16:15,0,0,fi
ＦＡＣＥＢＯＯＫ.ＣＯＭ,2016-03-13 05:12:34,1,0,en
i cant believe my dad found my binder of concept kush! drats!,2016-03-13 05:09:44,0,0,en
concept weed,2016-03-13 05:09:05,2,3,en
420 memescope,2016-03-13 05:08:06,1,0,en
now that's the best gosh damned meme ive ever seemed in my life!,2016-03-13 05:06:43,1,0,en
miami ultras yung lean,2016-03-13 05:05:27,0,0,tl
"that meme is so good that, i would die 4 it",2016-03-13 05:03:01,2,0,en
"i would die for that meme, it is that good",2016-03-13 05:02:29,1,0,en
well dang shoot dog gone it it's friday!,2016-03-11 21:53:29,2,0,en
"It's Friday everybody turn up! Haha what if I was like that

I am not",2016-03-11 21:48:01,4,0,en
The difference between medical marijuana and drugs is you,2016-03-11 21:45:18,4,1,en
Does ur dad zmoke weed,2016-03-11 21:33:06,2,0,en
"We made it to friday, boys",2016-03-11 21:26:00,2,0,en
You think if I didn't rap she would flirt back?,2016-03-10 21:22:30,4,0,en
Has Hilary Clinton even smoked weed b4 smh,2016-03-09 22:19:07,5,0,en
"Do a lil dance
Make a lil love
Oh my god
What the fuck
Oh my god",2016-03-09 21:26:03,2,0,en
