text,created_at,favorite_count,retweet_count,lang
"""Even though I'm a millennial, I love old things, like listening to vinyls,"" the youth said, before being run down by the 1970 Ford Falcon.",2016-03-26 21:40:11,6,1,en
Simpler times. https://t.co/lKNY6LiD6z,2016-03-26 21:35:30,72,2,en
CURRENTLY DRINKING - warboyparker: mrdestructo: Elmer Fudd Brewery’s “Saskatoon Basenji:... https://t.co/LuKpv7UupJ,2016-03-26 21:34:50,4,1,en
"CURRENTLY DRINKING - Elmer Fudd Brewery’s “Saskatoon Basenji: 525,600,000-Minute IPA” https://t.co/TmLP6GfBkj",2016-03-26 18:19:13,31,9,en
"ON THE NEXT EPISODE OF WAHLBURGERS—Paul finds some meat has spoiled. Mark beats up ""a trans."" Donnie explains Ted Cruz's vision for America.",2016-03-26 17:46:43,160,27,en
"Siri, use your hangover voice.",2016-03-26 17:00:15,45,4,en
It's real. We fucked together. Not each other—side-by-side. In the Ukrainian Fuck Stables. Their currency collapsed. https://t.co/7HBblpR7n9,2016-03-26 06:38:15,53,6,en
*extremely @dick_nixon voice* Maybe they'd heard this news. They're a violent race. They have their... traditions. https://t.co/d6NeVF7p6S,2016-03-26 04:02:30,99,10,en
"You like Lindy Hops' Hip-Hoptimal Trippel-IPA? 

Well, *I* shove an entire hop plant into a brandy snifter of lye and drink it with a straw.",2016-03-26 03:23:01,80,20,en
children constantly forget things. you can safety-pin anything to your children and it's ok as long as it was to make them remember stuff,2016-03-25 17:55:08,22,2,en
Taylor Swift and I at an Italian restaurant pretending breadsticks are cigarette holders &amp; getting The Penguin impressions mixed up with FDR,2016-03-25 16:15:16,102,18,en
"oh, man, this is fascinating and delicious https://t.co/T9mdhfUuqT",2016-03-25 09:01:54,104,60,en
a lotta times in tv shows it looks like people are having sex. they're not. it's simulated. they wear plastic sex parts over their real ones,2016-03-25 06:45:00,55,4,en
"ahahahaha
https://t.co/UgaTuigIRe https://t.co/7JlE6F34as",2016-03-25 03:07:48,87,30,tl
"is the fact that by the third episode of each season of ""fargo"" i want to see every character die intentional or...",2016-03-25 02:48:56,18,1,en
"kill your parents
Kill Your Parents
KILL YOUR PARENTS https://t.co/qsRjjxWlGI",2016-03-25 00:03:15,125,29,en
get you a man who can do both https://t.co/hWjwwsT8pG,2016-03-24 22:33:40,114,19,en
"How Hillary Clinton's ""plan"" to defeat ISIS by ""defeating ISIS"" managed to become the adult strategy in the room. https://t.co/HS1gyOVkrz",2016-03-24 19:34:26,78,37,en
Tweets vs. War Crimes: Clinton's Plan to Solve the Middle East https://t.co/HS1gyOVkrz,2016-03-24 17:11:04,54,35,en
"Congratulations to the BTK killer's favorite Twitter account, Fred Delicious, on making GQ's list of the 100 funniest Twitter jokes.",2016-03-24 16:30:33,103,4,en
"credit to @alanarusso for reminding me of donald sterling and, inevitably, my favorite donald sterling quote https://t.co/aU30bPTxFv",2016-03-24 04:32:51,551,195,en
goddammit lady just do what the box says https://t.co/jwIVoJFct5,2016-03-24 04:23:37,14,0,en
when u forgot ur trash bag but u in the front row to see gallagher https://t.co/gznhduKc8c,2016-03-23 20:08:27,323,114,en
Three guesses as to which utter load wrote this. https://t.co/j9SF92YSQo,2016-03-23 19:13:49,54,7,en
tfw someone links you a pic of a jacket disaster they just bought https://t.co/itcuBpzm9v,2016-03-23 17:37:45,26,0,en
https://t.co/HdJOLotv0i,2016-03-23 06:05:47,32,3,und
I can see Clinton standing up for unions and the labor movement but it's going to be SO tiring at least a few minutes into the inauguration.,2016-03-23 04:12:05,54,6,en
"I love how Wolf Blitzer insists on saying ""WE'RE GOING TO CONTINUE TO MONITOR THESE EVENTS..."" 

Motherfucker, you're watching a fucking TV.",2016-03-23 03:44:52,224,43,en
Whoever's in charge of Sanders' mic is the same person who mixed the Misfits' Walk Among Us.,2016-03-23 03:40:47,109,16,en
Why the fuck is Hugh Hewitt on MSNBC?,2016-03-23 03:24:07,41,3,en
Hugh Hewitt has a smile as natural as a wax figure of a skeleton.,2016-03-23 03:23:05,29,4,en
I'm the troll? You're the one posting Sinbad pics.,2016-03-23 02:51:37,73,1,en
lmao https://t.co/GjeERG5YAY,2016-03-23 02:47:07,69,30,ht
"Every one of these—every suspect, lead, anonymous tip, and payoff—they all point to the same place. Trent Flubbs. https://t.co/j0qNC97efs",2016-03-23 00:15:40,23,2,en
"I hope the text of Trump's first foreign policy plan is the chorus to ""Wooly Bully"" repeated 1,000 times and punctuated and spaced randomly.",2016-03-23 00:02:59,86,11,en
lmao https://t.co/nQdFjzOuJP,2016-03-22 19:37:55,163,40,ht
MY DATE WITH @BAKKOOONN https://t.co/q0SWI1Gwti,2016-03-22 19:03:50,60,9,en
Which day of the week does your family celebrate Arthur Chu dying on the Twitter cross for your consciousness? We observe it every day.,2016-03-22 18:05:18,96,15,en
"""It's like...if you think about what Batman does—who he is—I mean, he's a fascist.""

His grandmother, in the wheelchair, nodded reflexively.",2016-03-22 17:25:03,59,4,en
I bet Marco Rubio is waking up every afternoon and just buying a new boat.,2016-03-22 15:07:01,61,7,en
https://t.co/AiyqJdENvf,2016-03-22 08:17:29,26,4,und
"ok ok wait, hang on. i've been working on some a-list roast material in case i ever get in a time machine accident",2016-03-22 03:52:56,20,0,en
"I said this before, but Trump transcripts are perfect if you imagine them read by Rodney Dangerfield in Caddyshack. https://t.co/8X1VHMT1Hg",2016-03-22 01:58:21,155,78,en
When will the Democratic Party put aside this Clinton-Sanders squabble and nominate the one man who can stop Trump? https://t.co/RKVo9a67Ii,2016-03-22 01:52:17,150,41,en
I bet candidates speeches to AIPAC are blazed-as-fuck hilarious to college kids in Europe. like the sheriffs convention in Fear And Loathing,2016-03-21 23:25:16,93,20,en
the two-year-old son of my olmec head gf— who is a model by the way— laughed at this while I was devouring descartes https://t.co/rAq6hwQMPf,2016-03-21 23:11:51,348,77,en
The best part of any Trump speech is when his hand gestures go full Shatner. https://t.co/S5udfjT50p,2016-03-21 22:57:40,61,15,en
Trump vowing to build a brass wall around Gaza and bomb Iran to a sheet of Carrara marble.,2016-03-21 22:45:48,19,1,en
trump got a big round of applause for introducing israel with more nicknames and titles than fic flair,2016-03-21 22:34:42,39,5,en
definitely going to hang an American flag on my front porch so no one mistakes it for the Belgian consulate,2016-03-21 22:12:36,55,7,en
*folds piece of paper marked ONE FREE HUG and passes it to McD's employee holding bag full of big macs* this is what we're prepared to offer,2016-03-21 17:53:36,42,1,en
"I lean over to you in a theater and whisper in your ear, ""Lobster."" Hair stands on your neck. In many cultures we are already married.",2016-03-21 17:03:02,57,9,en
"even if you load a dozen pigeons into the press, you only get half a cup of bird milk",2016-03-21 15:38:05,49,5,en
I Know Why The Caged Bird Sings Linkin Park,2016-03-21 06:28:55,67,14,en
Eli Gold was a ton more fun when he was still a hardass political brawler and not some fussbudget always getting owned by dumb shit.,2016-03-21 04:01:38,22,1,en
Lou Dobbs keening and weeping while eating a burrito,2016-03-21 03:05:45,28,1,en
"i feel like jon chait must have a contract rider that says he can't JUST be wrong, he has to be a stupid dick about it",2016-03-21 01:25:49,211,49,en
I have a prehensile ass.,2016-03-21 00:59:57,64,3,en
🎶 i will remember yooouuuuu 🎶 https://t.co/8nDVl1NBrc,2016-03-20 21:55:44,147,26,en
https://t.co/uPDwRzVjVP,2016-03-20 02:49:00,542,111,und
"In my ""For Better or For Worse"" EU, Michael lost everything in a ponzi scheme, dressed as Farley and suicided-by-cop after murdering the CEO",2016-03-19 22:56:36,29,3,en
https://t.co/unEGwjGwek,2016-03-19 20:20:24,181,36,und
"does anyone else think it's weird that Verne Lundquist keeps saying ""Gonzaga, which is definitely a real school name and not made up at all""",2016-03-19 20:02:49,32,8,en
USAA Auto Insurance: Characters Welcome,2016-03-19 19:55:16,26,4,en
Coach K looks like a character in Game of Thrones who owns a child prison.,2016-03-19 19:37:21,104,31,en
https://t.co/sda44PdbkC,2016-03-19 19:08:15,40,5,und
Real Melvin,2016-03-19 06:50:08,4,2,en
what could the sandler movie even be a satire of https://t.co/xvy47iaJET,2016-03-19 05:02:59,55,3,en
"what's your favorite episode of Bosch to make love to? for me, it's still the pilot",2016-03-19 04:19:58,25,1,en
can't imagine why this guy would join his voice to a mendacious online abuser unless—ohhhhh. oh. okay. good reason. https://t.co/R3vS2tXsJF,2016-03-19 03:21:26,124,29,en
someone padlock the daughter from The Americans in a burlap sack and send her out on the tallest pile on an outbound garbage scow,2016-03-19 02:12:56,29,5,en
"GET YOU ON APPEAL HOKOGAN
　 _＿        /
　 / )))　　　 ＿
`／ イ~　　　(((ヽ
(　 ﾉ　　　　 ￣Ｙ＼
|　(＼　∧＿∧　｜　)
ヽ　ヽ`( ˘ω˘ ）／ノ/
　＼ |　⌒Ｙ⌒　/ /
　 ｜ヽ　 ｜　 ﾉ／
　　＼トー仝ーイ",2016-03-18 23:30:52,89,31,ja
"Death of a Mannequin: Marco Rubio's Last Day
https://t.co/kZ6mu2bcqY",2016-03-18 17:35:03,120,57,en
this is the Garbage Pail Kid drawing of ted cruz https://t.co/V06rkWaWUJ,2016-03-18 17:05:49,114,18,en
i signed up to be a member of pottermore and the sorting hat put me in delta house and we all puked and were expelled and now i can't login,2016-03-18 16:22:48,52,14,en
am i the only one spelling it Gökker Media on my math book cover,2016-03-18 16:17:18,53,4,en
https://t.co/i0KUAYxXab,2016-03-18 16:04:27,343,127,und
the only good mime joke would be if a mime wanted to interrupt his beloved girl mime's wedding &amp; he ran into the church &amp; got stuck in a box,2016-03-18 15:20:04,60,9,en
oh go fuck yourself https://t.co/oAsCBBTMbb,2016-03-18 14:38:21,262,112,en
"AJP Taylor: [inhaling]
L. Namier: [staring]
AJP Taylor: [staring]
L. Namier: [inhaling]
AJP Taylor: [staring]
L. Namier: The druids got high",2016-03-18 13:57:24,9,1,en
"*english woman with hair in chopsticks typing into conde nast cms* IF IDRIS ELBA LOOKS THIS GOOD, BRING ON IDRIS SAINT HELENA",2016-03-18 13:37:20,70,8,en
I would like to remind everyone that I once wrote about universal health care in the voice of Sheriff John Bunnell. https://t.co/563jaUgZ5r,2016-03-18 13:16:10,32,9,en
girl... https://t.co/Wdk63yr5mN,2016-03-18 12:17:09,53,9,en
ahahaha https://t.co/JHUNSy4nIf,2016-03-18 12:13:23,32,10,tl
"Congratulations to Providence on their win over USC, 70-Nice.",2016-03-18 04:02:07,68,11,en
get you a man who can do both for a thousand years https://t.co/OPtpwDoPaC,2016-03-18 03:03:51,64,11,en
"""Hi, I'm Craig Bierko, and welcome to the DVD Kama Sutra for Married Couples.""",2016-03-18 02:47:34,22,1,en
