text,created_at,favorite_count,retweet_count,lang
Can someone make a poster for Batman vs David Letter Man and whatnot? That would be humorous and so forth.,2016-03-26 21:18:27,390,94,en
"I wanna see Batman vs Method Man. Hook that shit up, Hollywood.",2016-03-26 21:10:32,681,349,en
"If you buy a rotten lemon is it called a ""car""?",2016-03-25 17:03:53,301,96,en
"This one hurts. Loved Garry Shandling to the marrow. Goodbye, old friend.",2016-03-25 02:37:16,1340,217,en
"There are two kinds of people, those who buy another vowel and those who solve the damn puzzle.",2016-03-23 20:01:12,618,219,en
Seahorses are fake.,2016-03-23 19:32:13,441,205,en
Shout out to all the kettle-cooked shit. Try to feed me something that ain't from a kettle I will straight up fold your legs the wrong way.,2016-03-23 16:34:28,1619,573,en
Can't find my lucky hair clip. Who the hell has my lucky hair clip? With the feathers on it? I'm givin' y'all 20 minutes to return that shit,2016-03-23 15:18:56,178,23,en
Why the hell would the #GilmoreGirls fight each other when Lex Luthor's the real enemy?,2016-03-22 22:46:27,260,72,en
Just ate hot wings on an elevator and it was on brand as hell.,2016-03-22 21:06:06,354,55,en
"Shout out to all the ""How am I driving?"" bumper stickers out there.",2016-03-22 20:07:31,175,25,en
"Shout out to the top three hazards, bio, Dukes of, and hap.",2016-03-22 05:30:08,1306,440,en
Can all y'all come over tonight? Got a shit ton of Pringles.,2016-03-21 23:58:20,538,156,en
I'll straight up eat Post-Its and write on Cheez-Its I paid my damn dues!,2016-03-21 19:46:36,452,120,en
We grew up so poor we could only stay at the One Season.,2016-03-21 14:20:03,330,46,en
Congrats to @AndySamberg and the rest of the Wisconsin Badgers and whatnot. https://t.co/67dodUESBb,2016-03-21 03:06:46,663,200,en
Sometimes it just feels like I'll never get invited to play Farmville.,2016-03-20 15:33:13,463,116,en
Meryl Streep and I have decided to go our separate ways. I would appreciate privacy during this difficult time.,2016-03-20 15:20:41,662,94,en
My girl @hollyrpeete's show #ForPeetesSake airs tonight 9/8c. @OWNTV. Watch it or I'll punch your face off &amp; whatnot https://t.co/CaPtkOgFq7,2016-03-19 20:28:04,156,32,en
$115 million?! Hey @AndyRichter wanna make a video of us doin' sex then try to get Gawker to run that shit?,2016-03-19 00:01:23,1161,232,en
"Shout out to T-shirt cannons, clothin' folks and fillin' us all with delight and joy and whatnot.",2016-03-18 20:33:04,333,117,en
I have been nominated to eat a Nachos Supreme at the food court.,2016-03-18 20:26:07,488,133,en
We grew up so poor we could only watch Sanford.,2016-03-18 04:24:20,516,106,en
Congrats to Leprechaun for his win over Trump in the latest poll of female voters. https://t.co/zYMy3EbfgF,2016-03-18 02:14:04,561,133,en
"I looked at a naughty picture of a lady when I was 15. Feels good to get that off my chest. Thanks for being here for me, y'all.",2016-03-18 01:59:45,575,62,en
We grew up so poor we got haircuts at Hope He's Not Drunk Again Sam's.,2016-03-17 20:03:55,303,72,en
"I like the word ""worser"" and I don't give a shit if it's in Webster's or not. There are a lot worser fake words bein' used out there.",2016-03-17 16:02:15,252,63,en
Can you hire a public eye to find out what your spouse has been doin' in plain sight?,2016-03-17 14:50:21,198,23,en
Shout out to those old ass Muppets that talked shit from the balcony.,2016-03-17 02:25:39,1754,722,en
Interesting delegate count right now and whatnot. https://t.co/izlVp7U4LV,2016-03-16 14:59:36,947,456,en
So sick of all these exit polls. Where my entrance polls at?,2016-03-16 02:12:17,329,63,en
I'll straight up put eyeliner on my panties and panty liners on my eyes 'cause I don't play by the damn rules.,2016-03-15 02:30:45,826,323,en
"All y'all fancy TV people on here &amp; none of y'all can make me the wacky neighbor who stops by borrows paprika &amp; says ""whatnot"" all the time?",2016-03-14 22:10:21,502,72,en
Riding around on a Roomba all day. Just gotta sprinkle dirt in the direction you want it to go. $2000 cheaper than a Segway. I B thinkin'.,2016-03-14 21:31:07,771,248,en
Goats are either cute as hell or creepy as shit. There ain't no middle ground with goats. Okay talk to y'all later.,2016-03-14 17:47:10,1027,395,en
Shout out to footie socks with poof balls on the back. You ain't shit if you don't wear footie socks with poof balls on the back.,2016-03-13 23:32:37,422,125,en
I grew up so poor we could only shop at Sometimes 21.,2016-03-12 19:32:15,580,156,en
"Donald, bring that next rally to Detroit. Then swing by Compton after that.",2016-03-12 05:08:39,5358,2583,en
"What's your favorite urethane? Mine is polyurethane. That means ""many urethanes"" in Spanish. Never step to me with just one urethane.",2016-03-11 04:06:13,1561,534,en
Ring the alarm! George Wallace is straight up gettin' to 2nd base tonight!,2016-03-11 04:00:54,285,38,en
Late for karate again. Can you call Sensei Ron &amp; tell him? Sensei Ron's gonna be mad as hell that I'm late again. Hate makin' Sensei Ron mad,2016-03-11 03:10:56,427,75,en
United is about to make their seating ten people across. Hope they lend us all sardine costumes. Just peel open the plane when we get there.,2016-03-10 01:17:01,234,46,en
I'll straight up tan myself in a nail salon and nail myself in a tanning salon I don't care what the public indecency laws say.,2016-03-09 16:46:17,399,119,en
Just wanna thank everyone who stood by me during my battle with bed sores.,2016-03-09 16:27:06,195,31,en
Did y'all know there are over 3 styles of hats available for purchase nowadays? We live in an amazing time.,2016-03-08 04:58:16,407,125,en
Shout out to @BobbyCannavale on #VinylHBO  snortin' everything in sight and doin' karate and whatnot. #FF,2016-03-08 04:05:01,202,39,en
"Shout out to folks doin' ""the sprinkler"" on the dance floor. I walk the hell out of a club if it ain't packed with folks doin' the sprinkler",2016-03-08 04:02:52,573,149,en
I have signed a three year deal with the Toronto Argonauts. Excited to begin the next chapter of my career and whatnot and so forth.,2016-03-07 16:39:51,331,74,en
"I call ""knock knock jokes"" ""who's there jokes"" 'cause I'm a rebel and I'm no good and there's nothing y'all can do to stop me.",2016-03-07 07:45:00,459,122,en
How come there's yesterday and yesteryear but you never hear about yestermonth? That shit is racist.,2016-03-07 07:42:51,421,94,en
The hardest part of measuring Trump's package is sneaking a ruler into Chris Christie's mouth.,2016-03-05 22:56:22,8076,3737,en
"""Would you like help to your car with that 350 piece Chicken Bag?""
""Why yes I wou-- Hey you're Captain Saunders!!!""
""Surprise and whatnot!""",2016-03-05 22:45:35,237,33,en
"""Try our new 350 piece Chicken Bag. It's like 60 chickens &amp; you're gonna eat the shit out of it &amp; whatnot. Take it from me Captain Saunders""",2016-03-05 22:40:56,248,55,en
".@KFC chose another black man to play Colonel Sanders but I'm confident @ChurchsChicken will create a ""Corporal Saunders"" character for me.",2016-03-05 22:28:11,264,44,en
"FYI my tweets over the next 3 years will all be based on the novel ""Push"" by Sapphire.",2016-03-05 22:15:36,311,57,en
It takes a Village Person. https://t.co/5QK4Df11GQ,2016-03-05 22:05:41,389,81,en
"Shout out to Auntie Anne, runnin' around wrappin' hot dogs in pretzels and whatnot.",2016-03-04 23:17:34,324,94,en
This is hurtful as hell @KFC. Stings real bad. I just sent y'all an audition tape this mornin' on VHS and whatnot. https://t.co/Fvvlj4tVxz,2016-03-04 06:48:55,617,93,en
Shout out to funnels. Helpin' us put liquid into containers for over ten years now.,2016-03-03 22:08:47,513,201,en
Shout out to Rudy from The Cosby Show for being cute as hell and not rapin' folks and whatnot.,2016-03-03 22:07:47,2010,501,en
S/O to the Queen of SOAPS @CarolynHinsey.  Nothin but Love and Laughter and a lot of whatnot.,2016-03-03 15:36:53,24,6,en
Wake that a$$ up this morning. Let's do the damn thang.,2016-03-03 13:01:23,245,112,en
"Man, I thought Ben Carson was lookin' good after his 8th place finish in American Samoa.",2016-03-03 00:38:30,636,207,en
"It's sad how many Smurfs we never met, like Owes Me $20 Smurf and Baby Daddy Smurf.",2016-03-03 00:30:46,310,87,en
Just sayin' you don't wanna be around when the shit goes down between the Dollar Shave Club and the Hair Club for Men.,2016-03-03 00:26:34,318,84,en
Shout out to my lower back tattoo of a unicorn in a track suit slam dunkin' a basketball.,2016-03-01 23:51:48,298,95,en
"FYI I will no longer be assistant manager at the Commerce, Georgia Chick-fil-a due to creative differences.",2016-03-01 23:41:14,357,77,en
Trump's dad was KKK but left $200m. Shit MY dad can be KKK if he leaves me $200m. March all U want pa. Burn a cross on my damn birthday cake,2016-02-29 21:35:53,2776,1033,en
I'll straight up get to Kokomo slow then take it fast I don't give a shit anymore.,2016-02-29 19:28:19,696,262,en
On the plus side the #Oscars must have set a damn record for black presenters.,2016-02-29 16:51:27,211,41,en
I love @ChrisRock. #Oscars,2016-02-29 05:07:14,356,78,en
My family knocked out our Easter card early this year. https://t.co/X4DuYkB5oJ,2016-02-28 00:35:12,587,119,en
Kenny Lattimore  has got to be one best to do the Damn thang. https://t.co/SD1o0WQywf,2016-02-28 00:12:27,55,4,en
You ask me a question about specific plans and shit during my run for President and it's OPEN SEASON ON YO' MOMMA!!!,2016-02-26 20:41:10,255,80,en
"""George what's your tax plan?""
""To tax yo' stupid ass momma""
""What about immigration, George?""
""I'll build a wall around yo' ugly ass momma""",2016-02-26 20:39:04,463,169,en
"Y'all don't understand how exciting this shit is. Literally ANYONE can be President now, qualifications and ideas aside and whatnot",2016-02-26 20:29:01,499,217,en
"I'd pay Bernie Sanders $1,000 to start throwing water bottles around and shit at the Democratic debates.",2016-02-26 20:26:38,238,60,en
"Shout out to that Asian kid in Goonies yellin' 'bout ""booty traps"" he was delightful as shit wasn't he?",2016-02-26 05:09:49,440,123,en
I'm good with the number of debates there have been we can stop with the debates now thx,2016-02-26 05:07:09,441,107,en
I just wish someone would finally make a meme that involved a cat or a dog and whatnot.,2016-02-26 05:05:31,279,59,en
I double dog dare @KFC to make me the next Colonel Sanders.,2016-02-24 21:59:33,792,276,en
"As an action star I will do fighting moves like punch to the face, punch to the side of the face, and punch to the forehead.",2016-02-24 19:12:26,233,51,en
"As an action star I will do hilarious things like rip a guy's eye out and make him look at himself and I'd say, ""I spy with your little eye""",2016-02-24 19:11:31,285,68,en
"FYI Hollywood, I am ready to be a highly sought after action star thx",2016-02-24 18:52:43,148,26,en
Shout out to all the original motion picture soundtracks out there. Nothin' I hate more than copied motion picture soundtracks and whatnot.,2016-02-24 18:50:26,224,56,en
All those space heaters aren't working it's still -270 degrees up there.,2016-02-24 18:44:06,195,79,en
Shout out to George Wallace tweetin' about himself in the third person and whatnot.,2016-02-23 00:10:50,624,122,en
"Sendin' out a big, fat middle finger to cancer. Can I get an Amen?",2016-02-23 00:10:19,671,151,en
Comedian Quincy Jones has terminal cancer &amp; he wants go out blazin' in a one-hour special. You can help. https://t.co/IH2u1TSTXE,2016-02-22 23:06:40,388,248,en
More folks would watch the debates if candidates were literally mud slingin'.,2016-02-22 19:28:19,128,33,en
Hi @Cher.,2016-02-22 07:36:03,129,13,und
Shout out to all the decorative pillows that no one's allowed to use for sleepin' and so forth.,2016-02-22 07:33:06,483,122,en
I'll straight up explore shit in an Impala and impale people in an Explorer I don't give a damn anymore I paid my dues.,2016-02-21 21:23:00,1072,395,en
It's sad that no one ever told Jeeves shit. Folks just askin' askin' askin'. People are assholes. #SorryJeeves,2016-02-20 01:18:43,380,80,en
"If I knew ""I'll hire the best people"" was an acceptable plan for every problem I woulda run for President a long damn time ago.",2016-02-20 01:05:03,451,167,en
Sad that the Green Berets fought the Raspberry Berets for so long. Just seems so senseless and whatnot.,2016-02-19 16:52:01,384,109,en
I'll straight up put gifts in Saran wrap and Sarans in gift wrap I don't give a shit anymore.,2016-02-19 16:38:33,332,127,en
I'd vope for the Pote.,2016-02-18 17:47:35,142,18,en
"Cold chillin' on my veranda, readin' romance novels and whatnot.",2016-02-18 17:37:11,177,42,en
Why are they called sporks and not foons? That shit is racist.,2016-02-17 19:02:55,1030,362,en
