text,created_at,favorite_count,retweet_count,lang
LIVE on #Periscope https://t.co/tKSB9s1fwK,2016-03-26 00:46:48,13,2,en
LIVE on #Periscope https://t.co/2Wr6QeujAE,2016-03-26 00:44:41,11,2,en
LIVE on #Periscope https://t.co/Vv4zA29fjJ,2016-03-26 00:43:47,9,2,en
"I don't perform in LA much, but when I do it's The Ice House. C'mon out. https://t.co/8Cfufhc8sC …",2016-03-25 19:46:08,82,17,en
"""Impermanence"": Garry Shandling #RIPGarryShandling",2016-03-25 05:46:43,295,65,en
"It featured a cast, well-grounded, and Garry floated among them, an untethered balloon. #RIPGarryShandling",2016-03-25 05:46:04,169,16,en
"That fall, ""It's Garry Handling's Show"" premiered on Showtime. #RIPGarryShandling",2016-03-25 05:44:56,113,15,en
"And that day, the view they all witnessed was Garry Shandling driving into the distance at a measured pace. #RIPGarryShandling",2016-03-25 04:51:44,338,59,en
"The office was the best on the lot, and provided the best view, too. #RIPGarryShandling",2016-03-25 04:50:29,105,17,en
"Names were being thrown around the room as to who should be the wife, the neighbor, the best friend. #RIPGarryShandling",2016-03-25 04:49:50,93,16,en
Five minutes into the meeting and the two sides were close to a deal and Gary's manager was thrilled. #RIPGarryShandling,2016-03-25 04:48:23,91,19,en
Garry excused himself to the restroom leaving his management and the network to talk money. Gary disliked this part. #RIPGarryShandling,2016-03-25 04:46:56,119,20,en
Garry's manager was happy. Sometimes Garry could be stubborn and was notorious for ignoring notes. #RIPGarryShandling,2016-03-25 04:45:41,104,17,en
"Garry agreed, said it was a great idea and that maybe he should have a kid too, to further ground him. #RIPGarryShandling",2016-03-25 04:44:32,97,18,en
"After the presentation the execs had only one suggestion. They thought Garry should be married. It would ""ground"" him. #RIPGarryShandling",2016-03-25 04:43:39,101,17,en
But Showtime was not a name and Garry was so the bewildered suits sat and laughed when they thought they should. #RIPGarryShandling,2016-03-25 04:42:29,116,26,en
So imagine trying to convince TV execs that this wild experiment would be good for their network. #RIPGarryShandling,2016-03-25 04:41:40,133,23,en
Garry Shandling created the outside joke. #RIPGarryShandling,2016-03-25 04:40:39,355,126,en
In essence Gary Shandling created a new type of comedy. Garry Shandling created something no one else has dared to try. #RIPGarryShandling,2016-03-25 04:39:59,554,175,en
"There was also an actual person named Garry who had a different audience, the audience watching television. #RIPGarryShandling",2016-03-25 04:38:41,124,25,en
Garry seemed obsessed with letting us know there was a character named Gary who had a studio audience but.... #RIPGarryShandling,2016-03-25 04:37:28,114,20,en
"The show looked like punk comedy at the highest level and it was, but it was more too. #RIPGarryShandling",2016-03-25 04:35:55,193,46,en
And others watched the art that they would steal. But they were sloppy and they were timid. Not Shandling. #RIPGarryShandling,2016-03-25 04:34:34,196,54,en
At the end he explained what we had all learned. But he did it without condescension or disdain. He was just playing. #RIPGarryShandling,2016-03-25 04:32:07,156,32,en
"He wandered from set to set. He spoke to the studio audience, the home audience. #RIPGarryShandling",2016-03-25 04:30:59,147,27,en
"So, after Garry completed his three dimensional multi-camera sitcom he tore it asunder, #RIPGarryShandling",2016-03-25 04:29:48,223,37,en
"And so Shandling began by writing a straight-ahead sitcom script. And not a lame one, either. That would be too easy. #RIPGarryShandling",2016-03-25 04:28:33,146,27,en
Shandling understood you couldn't create parody in a vacuum. You needed the target created beneath the arrow #RIPGarryShandling,2016-03-25 04:27:14,368,93,en
"This was the key that so many to come who were ""influenced"" by Shandling failed to understand. #RIPGarryShandling",2016-03-25 04:25:03,156,34,en
Then the cast would appear. The cast never broke character. Never. This was the key. #RIPGarryShandling,2016-03-25 04:23:35,162,36,en
Then there would be the monologue which would explain the plot the audience was about to witness. #RIPGarryShandling,2016-03-25 04:21:16,130,26,en
"The theme song would be called ""This is the Theme to Garry's Show"" and the theme song was all about the theme song. #RIPGarryShandling",2016-03-25 04:20:24,269,60,en
"It would begin from the beginning of the show, Gary explained to the bewildered execs. #RIPGarryShandling",2016-03-25 04:18:35,136,25,en
"But Shandling wanted to go much further, having the rest of the cast play it dead straight while Garry wanted. #RIPGarryShandling",2016-03-25 04:17:39,129,23,en
"George would address the camera when Gracie wasn't in the room, playing to his strength as a stand-up. #RIPGarryShandling",2016-03-25 04:15:34,133,25,en
"This device seems old now. But, at the time, only Burns and Allen had tried such a thing #RIPGarryShandling",2016-03-25 04:13:14,164,31,en
Garry explained he would begin the show with a monologue which would set up the episode. #RIPGarryShandling,2016-03-25 04:12:18,155,29,en
"He was pitching his show, It's Garry Shandling Show, which would be a hybrid, half sitcom half meta-sitcom #RIPGarryShandling",2016-03-25 04:11:15,192,35,en
Garry was just a working comic so turning down the guest host job was one ballsy move.,2016-03-25 04:10:01,161,31,en
"It was a meeting with the then unknown Showtime, at the beginning of cable.",2016-03-25 04:09:22,122,28,en
"Best story I've heard about Garry is that after he turned down permanent guest host for The Tonight Show w. Johnny Carson, he took a meeting",2016-03-25 04:08:45,197,39,en
"My favorite Garry joke: ""I'm dating Miss Georgia. All right, it's the former Miss Georgia. OK, it's George Foreman."" #RIPGarryShandling",2016-03-25 01:58:15,3063,1216,en
"Like you would tell me over and over, Garry, ""Impermanence"". #RIPGarryShandling",2016-03-24 22:29:45,993,313,en
There was a time when the media would call no results until the final votes were cast. This is disgraceful.,2016-03-23 04:19:42,462,183,en
It was just tweeted and then deleted that @realDonaldTrump felt Cruz went beyond the pale and threatened to spill the beans on Cruz's wife.,2016-03-23 01:52:44,204,57,en
RIP @TorontoRobFord . Pray for his family.,2016-03-23 01:47:59,329,67,en
"If you haven't checked out @SchittsCreek,created by the great team of @danjlevy and @Realeugenelevy,and starring Catherine Ohara, do it now.",2016-03-21 05:08:37,278,68,en
Missed 3 leads to Tarheels possession and score. 13 ahead. 7 and a half left.,2016-03-20 03:24:30,20,1,en
"Dunn comes in. the y will both play, down by 11. No other choice.",2016-03-20 03:23:21,13,1,en
Lentil picks up his 4th. Dunn on the bench with 4.,2016-03-20 03:22:42,16,0,en
0 of 2 still 9.,2016-03-20 03:21:42,15,0,en
* and a half left. Providence at the line.,2016-03-20 03:21:12,11,2,en
Tar heels have taken control as Providence misses shot after shot. NC by 9.,2016-03-20 03:20:45,12,2,en
Meanwhile the favorite Tarheels have their hands full with Providence early in the second half.,2016-03-20 03:01:58,27,3,en
3 missed treys by the Warriors. And Spurs are fouled. Game is over Spurs by 8. Steph was 1 of 16 for threes.,2016-03-20 02:57:03,25,7,en
"And so it appears Warriors will lose their 7th of the season, Spurs will staunch theirs at 10. Both teams will remain unbeaten at home.",2016-03-20 02:55:13,46,6,en
"Grabs one of two, Warriors call timeout with 22 seconds remaining.",2016-03-20 02:54:12,9,0,en
"Parker misses, Leonard gets the rebound and is fouled.",2016-03-20 02:53:22,13,2,en
"Curry misses a her shot, Spurs get the rebound.",2016-03-20 02:52:35,16,2,en
