text,created_at,favorite_count,retweet_count,lang
What's your favorite Easter movie? Mine is Die Hard.,2016-03-27 15:18:53,214,57,en
I'd like to wish everyone a very Hoppy Easter. https://t.co/PLdww8NQwl,2016-03-27 14:49:46,62,5,en
Yeah 90 days seems like a very reasonable amount of jail time for planning a terrorist attack if you're a white guy. https://t.co/XRHtGZjIIx,2016-03-27 13:25:54,505,396,en
"Wearing Batman pajamas out on Easter Sunday because, much like Jesus, the Dark Knight rises.",2016-03-27 12:16:41,291,84,en
God damn socialist Easter bunny giving away free candy to kids.,2016-03-27 11:15:37,258,107,en
How has Ann Coulter not blocked me or eaten a refugee child in front of witnesses yet?,2016-03-27 01:25:19,277,47,en
Shoutout to social media for reminding me why I hate men,2016-03-27 00:27:34,247,31,en
"Christian: [hiding candy for kids] 
Happy Easter!

Jew: [Smearing blood on doorstep to protect kids from the Angel of Death] Whatever, wuss.",2016-03-26 12:31:08,694,180,en
Jon Snow will be resurrected on Wester Sunday.,2016-03-26 12:13:32,105,24,en
"If a bird showed up at a Trump rally Ann Coulter would appear, unhinge her jaw and swallow it whole.",2016-03-26 03:54:24,922,285,en
A rolling sex robot called BB-69. I'm sorry good night.,2016-03-26 03:07:33,165,24,en
Sad that kids today will never know the kind of ominous that was a ringing pay phone at night.,2016-03-26 02:55:41,456,98,en
"Me: Whatcha watching?
Him: It's a documentary...
Me: [eyes glaze over]
Him: ...about football.
Me: [is already in another room, sleeping]",2016-03-26 02:48:02,250,28,en
Was sick of Cruz &amp; Trump competing over who hates immigrants more so it's refreshing to read about them competing over who hates women more.,2016-03-25 16:41:30,565,242,en
"""I worry about boys pretending to be trans using the girls room at school.""

Yeah one thing teen boys LOVE to do is pretend to be different.",2016-03-25 12:52:23,709,213,en
"Breaking: Trump claims to have had more extramarital affairs than Cruz and with much hotter mistresses.
#CruzSexScandal",2016-03-25 10:02:43,1108,580,en
"Kids, in my day we were sad even without access to the Internet.",2016-03-24 21:02:42,227,54,en
"Not surprised that North Carolinians who feel the need to open carry in grocery stores are afraid of trans people using the ""wrong"" bathroom",2016-03-24 14:46:48,462,200,en
"I see Trump supporters are using the old ""He has a hotter wife so is therefore more qualified to be POTUS"" argument. https://t.co/drnaEGCTo6",2016-03-24 13:31:30,291,79,en
Happy birthday @davedittell #FF,2016-03-24 12:44:50,9,1,en
Using this as my response to any Trump supporters who reply to my tweets going forward. https://t.co/C1rJhEDIkX,2016-03-24 12:21:59,446,48,en
The new Trump hats are actually pretty cool. https://t.co/Bs7iBGQoVZ,2016-03-24 12:19:42,231,63,en
Just read the college basketball boys are having a sweet sixteen! Can't wait to see their gowns! I hope Jayden gets the Mercedes he wanted!,2016-03-24 11:17:10,272,67,en
"My coworker is sneezing a lot but don't worry, she doesn't have a cold, she's just allergic to work! Oh Linda, you comic genius you.",2016-03-24 11:12:52,230,27,en
"Whenever Trump says ""Lyin' Ted Cruz"" I imagine him as Rafiki holding up Simba Ted Cruz over the edge of Pride Rock.",2016-03-24 10:59:47,87,11,en
"Guys, stop comparing Trump to Hitler. He thinks it's a compliment. Call him a middle-aged woman or a peaceful Muslim.",2016-03-23 17:58:51,2079,1052,en
I agree with Ted Cruz that religious extremists are trying to destroy America they're known as evangelical Christian politicians.,2016-03-23 17:31:18,936,377,en
"My coworkers are discussing lunch orders and one of them is getting a ""plain calzone"" so now I'm singing ""Highway to the plain calzone.""",2016-03-23 13:52:43,307,37,en
Happy #NationalPuppyDay https://t.co/VueVvSF68r,2016-03-23 13:09:08,360,180,en
Go read @michaelianblack's timeline right now. When I grow up I want to be able to troll as well as him. #FF,2016-03-23 12:46:05,107,22,en
If the Hitler comparison is so flawed then why do 100% of the antisemitic replies to my tweets come from Trump supporters?,2016-03-23 12:06:22,582,130,en
Trump hates Megyn Kelly because he can't believe she was so good at using The Force without any training.,2016-03-23 11:45:32,170,27,en
How would anyone know how to properly mourn without unsolicited criticism of their current process from strangers on the Internet?,2016-03-23 11:41:45,185,24,en
Piers Morgan supports Donald Trump because they share a mutual disdain for women over 30 showing cleavage.,2016-03-23 11:23:40,149,21,en
"Jeb Bush endorsed Ted Cruz over Trump because be prefers ""anchor babies"" to actual babies.",2016-03-23 11:19:11,60,13,en
They should pay you overtime when you dream about your job.,2016-03-23 10:59:48,429,126,en
"It's cute how the news won't confirm attacks that killed numerous people as ""terrorism"" until they find out the religion of the attackers.",2016-03-22 13:02:44,553,288,en
"""Hillary is no better than Trump."" - people who still don't fucking get it somehow",2016-03-22 12:45:53,439,115,en
Wonder if anyone is going to politicize a tragedy today.,2016-03-22 12:25:02,248,102,en
"Suddenly the GOP's typical ""thoughts and prayers to the victims"" response seems heartfelt and kind. https://t.co/JZrp8v0C1V",2016-03-22 12:21:47,319,113,en
This reads like a child who didn't study giving an oral report on Brussels. https://t.co/id0h8DYd5E,2016-03-22 12:20:32,335,97,en
Donald Trump won't apologize for anything he says but he's cool with deleting typos and reposting tweets. https://t.co/8NJkUXJNpL,2016-03-22 12:10:08,203,47,en
Weird how before Dallas airport security they make you throw out your beverage but issue you a gun and a cowboy hat once you get through.,2016-03-21 16:31:10,227,41,en
"[Pilot is speaking]
Girl: Dad, who's that talking?
Man: That's a lady pilot, honey.
Me: (under breath) Actually, they're just called pilots.",2016-03-21 12:23:31,803,157,en
Happy birthday to @BuckyIsotope if he's not sick of celebrating those by now. #FF,2016-03-20 15:20:35,19,1,en
"#FF @RexHuppke. He is a good guy who really looks out for me. (My mom just made me write this tweet, but it's true)",2016-03-20 15:11:08,38,2,en
