text,created_at,favorite_count,retweet_count,lang
"""It was the best of times""
Guess this book's gonna be smooth sailing
""it was the worst of times""
[My eyes pop out of my head like a cartoon]",2016-03-24 19:40:25,27,12,en
This film rated T for Thatsa Spicy Meatball,2016-03-22 02:13:49,2,1,en
"last week duolingo gave me ""will she remember me?"" and now this. https://t.co/9DdEPpxhy5",2016-03-21 02:12:11,5,0,en
"that whole 'cats conform to any container' thing means you can specify an amount of cat however you like. a jug of cat. a vase. cats, cubed",2016-03-21 01:26:42,4,1,en
*leans over to girl at the gym* not to brag but I'm sorta the reason they keep a puke bucket here now,2016-03-20 21:34:00,12,3,en
"No one trusted me with anything, says man who should absolutely never be trusted with anything https://t.co/SLKJBxQ07J",2016-03-17 18:34:33,19,7,en
"The Venn diagram of things I understand and Venn diagrams is like. A square? Two squares. And also a hat, maybe? No probably no hat. Or...?",2016-03-17 03:15:13,3,1,en
"Get yourself a man who can do both, I say, gesturing to my level 17 joint Warrior/Mage class",2016-03-17 01:23:22,3,1,en
"I didn't watch the budget, can someone just tell me what to tweet about Osborne so I can go viral",2016-03-16 13:49:23,0,0,en
Do cats even realise they're the hobbits of the big cat world,2016-03-15 14:25:22,5,0,en
we need to Make Britain Great Again. we need to physically shrink Ireland until britain is undisputably larger. make ireland tiny again.,2016-03-11 02:04:38,5,2,en
@TrentonHyat couldn't listen to this/reply earlier but this is weirdly captivating given the subject matter,2016-03-10 01:45:55,0,0,en
Remember pizza rat? Remember how innocent we were,2016-03-09 15:23:48,4,0,en
"picked up a can of pinto beans but my thumb was covering the p, and for a second i just thought. yeah. hell yeah i'm into beans.",2016-03-05 23:49:58,12,4,en
Why does this guy's Facebook post read like his girlfriend's just off screen with a knife leveled at him https://t.co/yTipGXIcDv,2016-03-05 00:08:48,19,4,en
"Ex Machina is clever, intense, and the best sci-fi film I've seen in a long time. If you're even slightly into the genre you should watch it",2016-03-04 16:34:19,3,0,en
https://t.co/AZHe7rIVqp,2016-03-02 00:36:19,11,3,und
"yeah man it's WiFi (wireless, fireless)",2016-03-01 20:08:48,3,0,en
"How's the new employee?
ZOO MANAGER: he's come on leaps and bounds. we've fired him.
Wait why would y--
ZM: Leaps and Bounds is our kangaroo",2016-02-28 14:18:31,5,2,en
The name's West. Wild West. Wild Wild West.,2016-02-25 16:58:33,16,4,en
this next one's just for the fellas! look away ladies! tough boys only in this microblogging mancave!,2016-02-23 00:31:12,7,1,en
Can't believe I've become the type of guy who DMs complaints to bus companies. This isn't the Trudeau's Canada I was promised,2016-02-16 21:20:00,2,0,en
"Feeling a little down, if each of my followers could send me $100,000 I'd really appreciate it, thank",2016-02-15 17:56:50,1,0,en
"Me in 2013: 1st, Impact font on a picture doesn't make it a meme, you idiot, 2nd,
Me now: my favourite may-may is probably friendship :^)",2016-02-14 16:24:20,6,1,en
"I love academic papers from 1940s cos they all begin like ""Motivated by an encapsulating discussion with Dr Dick Worthing, your author set o",2016-02-08 16:07:31,3,1,en
Okay I'm finally ready to tweet my thoughts on the superbowl https://t.co/PseKhenDLp,2016-02-08 14:20:39,10,3,en
"I know that i'm almost certainly not, given that he is in his mid forties and I'm 23, but I think I might be older than Marco Rubio",2016-02-07 04:45:51,4,1,en
"Very proud to have won both the Republican and the Democrat caucuses last night, thanks everyone",2016-02-02 16:45:17,9,0,en
the easiest way to name your septuplets is to pick just two names and follow the Fast and Furious convention,2016-01-30 15:43:02,9,1,en
Ah. Good. Incredibly glad I followed through on this joke for literally no reason whatsoever. https://t.co/Bv3khk23hK,2016-01-29 00:44:06,7,1,en
"One pillow doesn't provide enough support, two is too much. Will this hellish existence never end",2016-01-26 04:22:18,7,2,en
"I'm like coffee; sure, you may not like me at first, but eventually you'll come to enjoy &amp; even depend on me. Mostly because of the drugs.",2016-01-26 02:44:28,7,1,en
If it burns when you pee it means someone is talking about your pee,2016-01-19 02:07:09,16,6,en
not at all ominous https://t.co/NEpj23rVqm,2015-12-30 16:01:52,20,4,en
in the netherlands and i've worked out that dutch is just english ran through the Ohmergerd meme generator https://t.co/jiMuyKujVh,2015-12-09 12:18:42,17,3,en
Anyway brb going to europe for a month,2015-12-08 22:44:58,2,0,en
"When I die, donate my body to science. Don't give any advance warning though. Just throw my putrid corpse through some scientist's window",2015-12-08 22:40:56,1253,594,en
"you guys know google backs up all photos, even ones you deleted? good. cool. i also knew. i definitely meant to show mate my dick just then.",2015-12-08 05:05:50,4,2,en
"ol' DC uses a pretty perfect cadence here, subtly hinting his desire to be sampled in every grime song ever https://t.co/X8hzhtbvNz",2015-12-07 15:07:12,0,0,en
I love art https://t.co/S277Gq3LaJ,2015-12-06 21:26:33,8,5,en
No. 1: Hannah Montana and Miley Cyrus? Same nose. Same chin. Same. Freaking. Person. https://t.co/Wj50uk6xCA,2015-12-05 18:08:29,3,0,en
"If you and I are still single age 40, what fucking losers",2015-12-01 20:12:03,5,2,en
