text,created_at,favorite_count,retweet_count,lang
"its ok 

ill text myself back",2016-03-26 11:51:07,5142,4282,en
leaving a friend's house the next day https://t.co/TLjDr5SobC,2016-03-26 10:31:02,5957,3144,en
party at my house bring food then leave,2016-03-25 11:51:30,6115,5430,en
when you want to get in shape for summer but life is hard https://t.co/VjdXqHf7oW,2016-03-25 10:30:59,9811,9709,en
my morning routine includes 10 minutes of sitting on my bed and thinking about how tired i am,2016-03-24 11:51:03,7998,7021,en
when you accidentally open ur front camera and ur sitting there like https://t.co/MGytm9bhA5,2016-03-24 10:31:01,7888,4833,en
mood: https://t.co/MZgT1Ccfrr,2016-03-23 11:51:01,4144,2742,en
my favorite color is vodka,2016-03-23 10:31:01,5545,3917,en
when youre proud of something and nobody cares https://t.co/YubfvEDEC7,2016-03-22 11:51:16,9900,6817,en
if u insult me i will probably agree,2016-03-22 10:31:10,7154,6175,en
i need a vacation from life,2016-03-21 11:51:07,5275,6502,en
when ur stressed out but you play it cool https://t.co/a6RPvrOJo3,2016-03-21 10:31:07,6664,4814,en
my favorite color is money,2016-03-20 11:51:08,7029,9512,en
current stress level https://t.co/DWI4LUJwrs,2016-03-20 10:31:00,5777,5171,en
livin la vida broka,2016-03-19 11:27:44,7047,7101,en
"2 reasons why im fat

1) i eat when I'm bored 
2) im always bored",2016-03-18 11:51:20,8570,7847,en
i don’t need alcohol to make bad decisions,2016-03-18 10:31:00,7866,7817,en
do you ever see ur face from a different angle and have a mental breakdown,2016-03-17 11:51:20,8228,5494,en
me: im just going to have one scoop https://t.co/6G0Xxtq3NQ,2016-03-17 10:31:00,7785,6284,en
"""what kind of relationship do you strive for?"" https://t.co/WToaGkjG1H",2016-03-16 11:51:07,6192,3671,en
i need a hug and six months of sleep,2016-03-16 10:31:26,6502,7862,en
don’t you hate it when money goes away when you spend it,2016-03-15 11:51:09,6862,6076,en
"*eats one piece of lettuce* 

checks for abs",2016-03-15 10:31:30,6900,4796,en
if u listen closely u can hear me not caring,2016-03-13 16:11:09,6463,6234,en
trying to hide from responsibilities like https://t.co/CrrK9vE0QJ,2016-03-12 12:47:01,9390,9468,en
RT if buffalo chicken dip has had a positive impact on ur life,2016-03-12 11:31:01,2445,2370,en
rt if u are currently a mess,2016-03-12 02:46:34,4114,9400,en
"u know what i like about people? 

their dogs.",2016-03-11 11:31:06,9043,7734,en
"""i just need to get my shit together"" 

- me in 2009/2012/this time last year/a minute ago/next year probably",2016-03-10 12:57:14,6740,6102,en
i might be annoying but atleast my lock screen isn’t a selfie,2016-03-10 11:31:08,12623,13699,en
my head is hurting because i thought about my future for 0.3 seconds,2016-03-09 12:57:09,7278,6417,en
