text,created_at,favorite_count,retweet_count,lang
No @Delta I am not a silver medallion. I AM A HUMAN #hereMeRoar,2016-02-27 06:15:43,4,0,en
Just went dumb to No Hands on the radio .... #Anthem and @_Har_Monica_ s favorite song.,2016-02-12 00:58:15,1,0,en
We don't talk anymore #puuuuuuth #selenrrrrr,2016-01-28 16:27:31,0,0,en
All the light fixtures in my future home will be lava lamps,2016-01-19 21:42:31,3,0,en
"Just spent hrs going through youtube videos commenting ""This sounds 100x better with headphones"" and ""Like if you are watching this in 2050""",2016-01-17 17:31:00,5,0,en
Fitbit should add a bonus 100 steps for every #dab that the accelerometer picks up,2016-01-17 17:23:24,3,0,en
He needs some Milk,2015-12-16 13:30:25,1,1,en
The only song I am going to listen to today is Viva La Vida,2015-12-11 15:05:48,1,0,en
Shrek was a genius movie,2015-10-29 13:58:33,2,0,en
5SOS is the best rock and roll band ever in history #ACDWho?,2015-10-09 16:38:49,1,0,en
Sorry **worst,2015-10-05 20:13:02,1,0,en
The Lions are the best team in the NFL,2015-10-05 20:05:33,3,0,en
Humans think so short term.,2015-10-05 00:51:05,7,0,en
Ready to take this damn campus by storm. #Stumped,2015-10-03 08:12:37,3,0,en
There is some SWAG content on the Mich snap story rn,2015-10-03 08:11:49,1,0,en
"Although this ignorance is not necessarily by choice, as we are finite creatures.",2015-10-02 16:36:04,1,0,en
"Every decision we make is infinitely complex, we just ignore a certain level of the complexity for peace of mind. There is never good or bad",2015-10-02 15:06:45,1,0,en
Y U DO DIS STOCK MARKET http://t.co/r3Kzuzk1hi,2015-09-29 02:12:36,3,0,en
I will take one career plz,2015-09-28 13:11:07,7,0,en
I am 10 years late but I think I like punk music now,2015-09-27 14:15:28,6,1,en
Apple Music is pretty tight. I still just want something that just plays forever with music I like without me having to do anything #coy,2015-09-27 13:49:26,3,0,en
"More like BYBooo #goBlue 
Maul the Cougars",2015-09-26 15:51:59,2,0,en
Sunset blush California,2015-09-23 05:12:55,2,0,en
Urgent question for anyone who drinks wine: what is rosé and how can you get it in a box,2015-09-23 05:12:40,0,0,en
Dying my hair the color of the moon,2015-09-23 01:06:42,0,0,en
"Best hat to listen to The Weeknd to: Straw fedoras

 #FIRE 
#fashionPioneer",2015-09-21 17:31:13,0,0,en
I have a pumpkin stuck on my head,2015-09-21 17:26:03,4,0,en
Getting ravaged by the markets today. plz plz plz plz everyone go out and buy a @GoPro and a @netflix subscription #solidarity,2015-09-21 16:54:43,4,0,en
"No Google, I did not want to know ""Pizza House Feta Bread Calories."" I was looking for ""Pizza House Feta Bread COUPONS""",2015-09-17 15:39:23,9,0,en
How is cake in my water fun,2015-09-12 04:11:40,2,0,en
Orville Wright DID NOT HAVE A PILOTS LICENSE. #JUSTDOIT,2015-09-10 21:04:47,4,0,en
"Monkey Business - Black Eyed Peas 
Best Album of Ever",2015-09-06 18:36:32,2,0,en
On Wisconsin,2015-09-06 00:50:01,2,0,en
I cannot stand that late hit call. It's football.,2015-09-06 00:49:52,1,0,en
"I keep trying to do the 'get me off the waitlist' dance, but I think its, more functionally, a rain dance.",2015-09-05 15:49:43,1,0,en
Namaste Gameday,2015-09-03 11:23:59,2,0,en
Trying out footie socks for first time in many moons. New socks new me.,2015-09-01 19:07:02,3,0,en
You + @StumpedApp make me STRONGER https://t.co/Lx8kuyyzsI,2015-08-30 04:55:24,1,0,en
Soundcloud -&gt; you really do make all my dreams come true &lt;- Soundcloud,2015-08-30 02:45:59,1,0,en
"If you are negotiating with me, the blueberry is a stronger bargaining currency than the U.S. Dollar",2015-08-27 19:01:32,2,0,en
I can smell Ann Arbor *SNIIIIFFFFFFFF*,2015-08-27 15:04:47,4,0,en
Dan just told me I look like one of those demented baby toys from toy story 💯💯🙏🏼,2015-08-23 20:50:01,3,0,en
Nick Cage is the best actor of all time. Followed closely by Justin Bartha (other guy in national treasure),2015-08-23 03:44:08,5,0,en
"It's difficult to say what is impossible .. for the dream of yesterday is the hope of today. 

🙏🏾",2015-08-20 21:08:34,1,0,en
"As a completely unbiased tweeter, yall should follow @StumpedApp",2015-08-19 13:37:05,3,0,en
I LOVE THE SOUND OF RAIN,2015-08-19 06:11:36,5,0,en
Why do human beings become absolute savages when they are in an airport. This place is a jungle #ORD,2015-08-16 01:30:29,1,0,en
United ain't got the swag like Delta do #truReligion,2015-08-15 18:16:30,3,0,en
Team no crust on anything ever.,2015-08-14 18:16:31,0,1,en
I smash my head EVERY TIME I get off the Caltrain. #protectTallPeople'sHeads2k15,2015-08-13 16:11:21,1,0,en
SO to @WashioApp for making my summer here 1000 X better by doing all of my laundry. You folks are truly the real MVP,2015-08-12 02:10:57,2,2,en
"These days, all I do is wonder if you bendin' over backwards for someone else #HotlineBling",2015-08-09 17:47:34,0,0,en
How many times do you need to loop your own vines to become vine famous?,2015-08-07 15:55:04,2,0,en
"Sry, jumped the gun on that one. Price Ali from Aladdin is the new trap musik.",2015-08-06 16:15:07,0,0,en
"That ""someone, call a doctor, got a case of a love bipolar"" part in Katy Perry's Hot n' Cold is the best 10 seconds in music",2015-08-06 16:00:48,1,0,en
I need to start practicing the ancient art of yoga. I feel as though I constantly am living in the no flex(ibility) zone.,2015-08-06 07:48:58,7,0,en
That moment when your pizza rolls scald the roof of your mouth with the heat of 10000 suns and 20000 moons.,2015-08-04 04:33:47,8,0,en
I have now seen every single rom com in Delta's in flight entertainment arsenal #RICO,2015-08-03 21:21:58,3,0,en
"Oreos, chocolate milk, fireball #sleeplessInAnnArbor",2015-08-02 01:38:59,5,0,en
FINALLY a coffee shop that plays country YES LAWD #alamoSquareCafe,2015-07-19 15:55:10,1,0,en
You know it was a good dev day when you go to bed with 100% battery. #whereDidTheLast16HoursGo #stumpedLife,2015-07-19 08:48:45,0,0,en
Bro... is your board even boosted? @BoostedBoards,2015-07-18 17:14:58,0,0,en
SF Public Library knows how to party http://t.co/a36S8e6Q7M,2015-07-18 17:14:42,0,0,en
Blown away by how nice the #McNamara terminal is at DTW.... I could live here #DTown,2015-06-21 11:13:12,4,0,en
I just shoved a peanut M&amp;M so hard into my mouth that I pinned my braces to my lip and drew blood. #chocolateSavage,2015-06-18 19:37:29,10,0,en
If you are a non biker on the @Caltrain biker car.... 😤😤😤 why,2015-06-16 23:46:33,1,0,en
Had a weird dreams where I think I was bros with @kevinlove,2015-06-16 14:50:10,0,0,en
Get me back to AA,2015-06-14 11:10:48,7,0,en
What an INCREDIBLE game.... I LOVE SPORTS,2015-06-08 03:26:23,2,0,en
https://t.co/vs9Zxaym3M BOI,2015-05-30 04:27:18,2,0,und
Goofy movie is the only movie I have ever seen.,2015-05-28 01:54:17,1,0,en
I swear I'm so close to going vine famous,2015-05-24 09:29:36,1,0,en
Cavity free since this morning. #moTeefMoProblemz,2015-05-12 16:08:06,3,0,en
Just need someone to push me over the edge #coy,2015-05-09 00:15:20,3,0,en
So close to getting a Pintrest,2015-05-09 00:14:20,3,0,en
Alex is PISSED #1D https://t.co/z0LtghLetO,2015-03-25 18:16:59,0,0,en
SPIKE..... WHAT?!??!?!?!?! hahahaha,2015-03-12 17:11:53,1,0,tl
You would like some BBQ ribs and some warmth if you are me right now,2015-02-17 16:39:53,2,0,en
I'm 78 years old and I can dunk on a 3 foot rim,2015-02-17 05:31:50,0,0,en
http://t.co/vCwSSEO18U app made by umich dudes. check it,2015-02-14 15:48:38,0,1,en
"""Without love, one is not living, one is merely surviving"" - Joshua Bruce Kurtz​ on my lack of Valentine's Day plans. #notLiving #beMine",2015-02-12 06:27:26,5,0,en
SO to @raaecharles for the Microsoft office LinkedIn endorsement #blessed,2015-02-11 16:07:20,1,0,en
BB Gurl you make me better https://t.co/t8x622rJEx,2015-02-07 17:25:25,0,0,en
Fireball and Protein,2015-02-06 00:58:37,1,0,en
"All those sweet sweet kisses and those sweet red roses, they convinced me it was you #wuuuuuuubwuuuuuuub",2015-02-04 16:38:51,0,0,en
Like 3 minutes away from officially changing my name to SwagBoi Calhoun. Potentially hyphenated.,2015-02-03 18:39:10,8,0,en
That snow day really came at the perfect time. #schlissel can get it.,2015-02-03 18:22:27,1,0,en
Just saw @koomaxx walking home looking unapproachable in an all blacked out arctic parka #swag #viewsFromTheBusWindow,2015-02-03 18:19:19,3,1,en
"Woah, the incredibles was a fantastic movie all around",2015-01-26 16:44:45,5,0,en
Harbaugh for chancellor of the world,2015-01-17 21:00:05,4,0,en
Im at that point where I spend my days listening to punk covers of T Swift https://t.co/rzDboJyk1m,2015-01-12 17:44:28,0,0,en
The potential snap chat has to drastically change the world is just insane,2015-01-12 15:43:48,2,0,en
Hellooooo my only one #yeeeeeezusSYZN,2015-01-08 17:10:34,1,0,en
THESE CHANEL BAGS IS A BAD HABIT #AABound,2015-01-06 13:52:00,1,0,en
Hit em with a shovel and then say I dig you 😕,2015-01-03 01:18:50,3,0,en
I do not have a 3DS but @koomaxx should come play SSB N64 with me and housemates sometime,2015-01-02 16:48:35,0,0,en
I just simply can't commit to a 150 + second snap story. My pointer finger will get tired skipping through everything 😔,2014-12-30 07:31:05,6,0,en
Rose just told me she want a punching bag with my face on it,2014-12-30 00:07:05,3,0,en
Being humble don't work as well as being aware,2014-12-29 20:22:54,1,0,en
TAKE THAT SCHAFFER!!!!,2014-12-28 21:38:07,4,0,en
I am being such a drake right now.,2014-12-28 07:23:34,1,0,en
I look like Cher Lloyd with this uptown fade. I ain't mad though,2014-12-27 14:37:11,5,1,en
she said --&gt; SUADWM ^__^,2014-12-27 00:43:52,0,0,cy
Time to do nothing but watch Christmas movies and sip hot cocoa for the next 100 hours,2014-12-24 15:41:21,7,2,en
