text,created_at,favorite_count,retweet_count,lang
My wife was just annoyed at me cuz I woke up and group texted all our friends (including her) about my dream &amp; her phone was blowing up,2016-03-26 14:26:58,12,1,en
https://t.co/DT9kNpKN84,2016-03-25 22:57:32,4,0,und
https://t.co/R3SUwvjME4,2016-03-25 20:04:37,8,1,und
Video of me in the audience at 8:14 https://t.co/pshT1LjHeD,2016-03-25 16:54:09,4,1,en
"Google user Sidi Mohamed Cheiguer is taking it upon himself to cover Mauritania with photo sphere posts, going where streetview will not",2016-03-25 15:50:24,6,0,en
The face America wants to see for the next 8 years https://t.co/Js4tTDeLwm,2016-03-25 13:41:13,16,1,en
My favorite work request: CAN U HELP WITH THIS??? [forwarded email thread with more exchanges than particles in the known universe],2016-03-24 15:09:55,36,5,en
"For a state that has seen steady population growth for 40 years, Arizona has the most stubborn political demographics",2016-03-23 16:27:11,1,0,en
Eggs: the child's food,2016-03-23 14:47:32,7,0,en
When you realize you've forgotten a passage from Ruhnama https://t.co/gDkGtzEGvh,2016-03-23 13:33:05,9,1,en
https://t.co/ctkdNsH7P6,2016-03-23 03:31:11,15,0,und
Lol Romney caucused for Cruz. I gotta say I almost feel bad for the guy,2016-03-23 01:41:10,4,0,en
Pretty creative bot name imo https://t.co/yFwlt2ohtb,2016-03-23 01:22:48,12,1,en
"For anyone interested in listening to Dan Nainan get grilled about his age, it starts at 24:51 and is excruciating https://t.co/R1sy3Qalha",2016-03-22 20:36:55,20,2,en
Why does Dan Nainan lie an insane amount about his age? (cc: resident expert @pattymo),2016-03-22 19:21:03,3,0,en
[notices that the world continues to turn into complete shit] The posts aren't working!,2016-03-22 16:29:30,29,4,en
https://t.co/Uems7k744x,2016-03-21 16:15:09,57,6,und
Open 👏🏾 the 👏🏾 Morocco-Algeria 👏🏾 border! 🇲🇦🚧🇩🇿,2016-03-21 14:20:45,5,0,en
"I love when people travel to popular world cities and post ""Headed to _____! What should I do/eat?"" as if there are not endless resources",2016-03-21 12:18:00,17,0,en
I dislike the constant remastering &amp; reissue of records but I would welcome a new version of All Things Must Pass stripped of its reverb,2016-03-20 21:22:33,5,0,en
My favorite fake meme that morons think is real is the hilarious student answers to test questions,2016-03-20 17:27:22,12,0,en
"😈😈😈😈😈😈
😈LIFT HARD😈
😈                    😈
😈DIE   BUFF😈
😈😈😈😈😈😈",2016-03-20 17:04:19,18,2,en
Another game-changing online rant in the bag. Chalk up one more for the good guys,2016-03-20 15:11:37,12,2,en
Just...brilliant statecraft. Solid policy positions. I know what the fuck it is he's saying and why he's so popular https://t.co/rvHKJovvkN,2016-03-20 14:36:32,36,6,en
"I could now draw a picture of the median Salt Lake City ""cool"" person",2016-03-19 21:44:07,1,0,en
"Making me proud Arizona, but why stop short of tearing Arpaio limb from limb? I wanna see more follow through https://t.co/TrIjU1CZ3h",2016-03-19 21:39:56,5,1,en
"Holy crap my toddler Garrisyn just asked ""How many weeks until Cruz crawls on all fours to Trump's throne, begging for cabinet scraps""",2016-03-19 21:27:33,18,1,en
[drinking beer] nice,2016-03-19 21:24:00,9,0,en
"There's a certain genre of bland white lady ""soul"" that I refer to as 'Starbucks music'",2016-03-19 18:31:33,9,1,en
I am the only living being in Park City not somehow involved with or connected to skiing,2016-03-19 16:08:47,1,0,en
My cat walks all over every imaginable surface in the vain attempt to coax me from this bed and towards the unopened food cans,2016-03-19 13:45:32,17,0,en
"Lord, why have you caused me to wake so early this Satyre-Daye?",2016-03-19 13:02:48,3,0,en
https://t.co/olTaFhpUG5,2016-03-19 12:57:35,8,0,und
Tonight I stared into the eyes of real life Trump supporters and saw the vacant void staring back,2016-03-19 05:29:04,14,1,en
All the Trump supporters intermingling with the protestors are glassy-eyed lobotomy patients,2016-03-19 01:32:58,7,1,en
Anti-Trump protestors at the SLC Trump rally https://t.co/270YdCJR1v,2016-03-19 01:31:09,10,0,en
I have unwittingly heard the boys are back in town twice today,2016-03-18 23:29:23,15,1,en
The wife's out of town for the weekend so you know what that means--I'm a free man if any of my teen followers need me to buy them smokes,2016-03-18 21:36:50,23,1,en
Confession time! I'm one of those guys who climbs inside port-a-johns so people poo/pee on me &amp; the cops pull me out covered in turds,2016-03-18 17:26:49,43,5,en
https://t.co/fdZorEKEZI,2016-03-18 00:41:21,11,2,und
