text,created_at,favorite_count,retweet_count,lang
"i managed to pinch both nipples in the same binder clip and now i need a ride to the hospital,immediately",2016-03-24 04:21:08,6,0,en
i love too role up my sleeve's and get down to bisness,2016-03-23 21:45:44,2,0,en
"Oh,this tattoo of a tire track across my back? Its so i can say that a truck ran over me whenever i'm late to something",2016-03-22 15:41:33,6,0,en
"*logs in to twitter .com* nobody better be talking shit about marco rubio,the small man who lost in his own state",2016-03-16 01:31:25,7,0,en
"marco rubio sure lasted a while for someone i could beat handily in a cage match, foot race , or 6th grade science quiz",2016-03-16 00:50:00,9,2,en
"Ariana grande, or as the spanish know her , Big Ariana",2016-03-13 21:54:28,19,5,en
https://t.co/P7RSBU5sd4,2016-03-10 02:12:30,6,0,und
please leave T pain alone. he just wants some sleep .,2016-03-05 06:25:47,2,0,en
you gotta give it up for Spotlight folks. that movie we've all definitely seen and love dearly,2016-02-29 05:01:29,6,0,en
Mad max 2: happiness road,2016-02-29 03:10:17,5,0,en
"9) Baylor - no windows or doors
8) Arizona State - ridden with undead corpses
7) Princeton - submerged completely in swamp water",2016-02-17 07:03:41,3,0,en
"12) Yale - carved into the side of a cliff
11) Texas A&amp;M - hidden deep in the amazon basin
10) Penn state - constantly moving at 65 mph",2016-02-17 00:22:11,4,0,en
"Hardest Colleges To Get Into
15) Dartmouth - buried 6 km underground
14) Stanford - inside a bank vault
13) MIT - guarded by sentry turrets",2016-02-17 00:14:00,7,1,en
"thanks to people tweeting their free chipotle burrito codes , i have eaten lunch for free all week",2016-02-10 17:54:05,8,0,en
[takes off lab goggles ] I've....i've finally done it.... https://t.co/LxccfsKEEH,2016-01-26 04:13:16,13,1,en
If the earth is round why dont planes fly straight into space? @NASA what are you hiding from us bitch ?,2016-01-25 18:43:59,6,0,en
"craigslist car ad: clean title. 30k miles. manual. single owner. Asking $28,000

me: thats a nice ride. i'll give you $ 500 dollars",2016-01-12 04:27:00,4,0,en
"professor: [asking me a question about longitudinal engines]
me: [daydreaming about transverse engines instead ] uhhh",2016-01-05 19:51:06,7,0,en
cant believe obama is infringing on the 2nd amendment. the amendment written when slavery was cool &amp; they didnt know what oxygen was,2016-01-05 18:59:43,6,0,en
"Winter driving tip # 1:
See how slow everyone else is driving? Fuck em . 95 mph",2016-01-02 19:33:43,3,0,en
please cast me in a horror movie . i'm very skilled at being frightened of things &amp; making  extremely bad decisions constantly,2015-12-31 22:18:29,2,1,en
"1999: I wanna be a ninja when i grow up
2013: hmm...i don't see ""stealth"" or ""ninjutsu"" on this list of available majors",2015-12-31 02:57:55,8,0,en
Im making the official decision to tuck my shirt in while i lift weights,2015-12-29 23:14:00,4,0,en
"marriage has 4 rings: the engagement ring, the wedding ring , the suffer-ring , and of course the Super bowl ring",2015-12-28 20:20:05,3,0,en
folks i knew there was a Resident Evil but i never realized there was also a President Evil ! thats right i'm talking about barack obama,2015-12-27 03:25:02,5,2,en
"do you ever drink a beer and think to yourself ""i want another one of these""",2015-12-26 04:15:11,11,3,en
when elinor tried to tweet at donald trump &amp; tweeted at childish gambino instead https://t.co/7P8d7vfrEQ,2015-12-22 19:06:40,9,0,en
it seems santa came to the office early this year ... ... https://t.co/0RuBs9ch7W,2015-12-22 15:05:59,1,0,en
"my coworker named her baby ""amos"" . hes in for a rough 18 years",2015-12-21 17:23:22,2,0,en
i changed lanes in a very normal fashion in front of a chinese lady and she honked and gave me tHe double finger for the next 1.5 miles,2015-12-16 17:55:58,5,0,en
"baby i put the ""rage"" in beverage",2015-12-14 02:54:05,3,0,en
