text,created_at,favorite_count,retweet_count,lang
My level of vanity is so high that I think that song is about me and I dont even know who wrote it.,2016-03-26 19:47:50,40,3,en
West Coast! Yall #thosewhocan't 'n 2nite?,2016-03-25 05:11:11,22,1,en
Yall #thosewhocan't 'n 2nite? 10:30 TruTV!,2016-03-25 03:27:00,13,0,fr
Everyone! @realgranthill33 is only 26 years old,2016-03-25 01:40:23,10,0,en
Just heard they are rebooting the Spider-Man appearance in the Captain America trailer.,2016-03-21 04:23:55,161,42,en
"""The Staircase"": the most talked about doc that isnt available anywhere making you question if its even real. Is life real? Are we real?",2016-03-21 03:14:17,66,8,en
I like that Trump is an outsider. A non-politician. Honestly when I fly i like it if the pilot hasn't ever flown before.,2016-03-20 00:25:25,340,140,en
"Folks! Thats why they call it March ""Madness"" -most dudes at church on Sunday",2016-03-19 04:41:06,55,14,en
Always shit where u eat and vice versa. Its called convenience. Get woked up.,2016-03-18 20:45:23,61,19,en
"I literally use the word literally like literally all the literally time literally literally, no literally. Ur not listening. I literally do",2016-03-18 01:10:49,70,9,en
Sorry not sorry is still an apology and Ill take it.,2016-03-13 19:17:52,63,9,en
SXSW today w/ @seriousshow and @GrawlixComedy COME SEE A SHOW!,2016-03-13 11:55:45,10,1,en
To anyone who cares! My special will possibly be avail on my website by this time next week. #nospecifics #nopromises YAY!,2016-03-11 22:45:00,119,18,en
https://t.co/MpdhZtuKaS,2016-03-10 20:14:28,23,4,und
"Denver, u had me at ""we have blizzards here!"" https://t.co/FLRIzWKBWF",2016-03-10 19:28:37,53,1,en
DENVER COMEDYWORKS! @ComedyWorks this weekend. Be inside us.,2016-03-10 04:10:28,19,4,en
I dont know where @charpiecomedy got this or who gets credit but it basically sums up the whole weekend. https://t.co/pWCwQu6AIf,2016-03-10 00:55:50,63,7,en
America needs more chain restaurants if its ever gonna be close to great again.,2016-03-10 00:54:47,58,16,en
"Starting tomorrow night Denver! At the @ComedyWorks downtown. @charpiecomedy joins, will you?",2016-03-09 21:29:14,16,3,en
Going on @PoundcakePod now to get into last nights episode! Tweet at me right now w any quetions for the show about last nights episode!,2016-03-07 17:20:39,5,2,en
#FTPC,2016-03-07 17:19:26,2,0,und
Hillary doing the B-Sides response on prayer. #DemDebate,2016-03-07 02:58:32,43,1,en
Guys? Whats this? Joe's verified? @KarenKilgariff @daveanthony @joederosacomedy https://t.co/8GFW4M0G20,2016-03-06 19:18:48,28,1,en
Everyone still enjoying their factory raised dead animal chemical meat?,2016-03-05 04:14:07,76,8,en
"DENVER! Shows next week w @charpiecomedy at @ComedyWorks COME SEE A SHOW! Also, what r the good golf courses?",2016-03-05 03:07:37,21,8,en
If ur not POUNDCAKIN ur a fucking loser! Join the FUN! https://t.co/bJQKYpErfe #FTPC,2016-03-05 00:24:13,13,3,en
McCain's VP pick loves Trump. So lets def listen to McCain's opinion on anyone!,2016-03-04 14:51:36,19,4,en
"Cruz you are a fucking moron and if you support him you are a fucking dipshit moron, which is worse.",2016-03-04 04:01:24,58,8,en
If this final question and how its answered doesnt open your fucking eyes then fucking kill yourself immediately. #GOPDebate,2016-03-04 03:59:42,27,2,en
Kasich growing a pair. #GOPDebate,2016-03-04 03:57:41,14,2,en
