text,created_at,favorite_count,retweet_count,lang
I'm on snapchat add me saraschaefer1 https://t.co/iak1kyFqjJ,2016-03-26 16:25:23,34,0,en
Garry Shandling thank you 💔,2016-03-24 20:50:02,66,6,en
Build a wall! Keep Muslims out! No trans people in the bathroom! Gonna be pretty lonely when everybody's gone &amp; it's just you &amp; Cleetus,2016-03-24 03:14:46,252,100,en
Help me find and thank the hero I encountered this morning!!! Please RT! To The Man Who Honked. https://t.co/qROUhXbdJu,2016-03-23 17:35:13,21,6,en
"Garden update:

The comedy business and gardening go well together. While finishing two scripts… https://t.co/EmnwrDujbd",2016-03-23 01:54:53,21,2,en
"Even on a tweet about my sweet friend dying, I am getting ""actually"" dudes telling me she doesn't deserve recognition. Happy 10th, Twitter!",2016-03-21 16:28:04,121,22,en
My friend Alysia was killed on 9/11. Her middle school is being renamed &amp; there's a petition to name it after her. https://t.co/jM9cabL5jB,2016-03-21 15:47:04,135,51,en
"Oh, Scott Baio isn't trending because he's dead, just trending because he's dead to me",2016-03-20 04:57:34,461,111,en
When you took a fashion risk and then pull up next to ur ex and immediately regret it https://t.co/tHZMl6k93j,2016-03-18 23:51:43,991,377,en
The Republican convention is gonna be like the finale of The Challenge and tbh I hope Johnny Bananas &amp; CT show up to help out,2016-03-18 00:33:50,62,20,en
How your everyday life must feel if you spend time online trying to correct and control a woman https://t.co/sLnaRuhN9s,2016-03-17 16:17:26,49,11,en
Very happy #SeaWorld is doing the right thing but my eyes rolled out of my head when the CEO started lecturing us https://t.co/LPi5sJJ0bg,2016-03-17 15:06:42,140,78,en
"When a friend is on your last nerve, it may be time for The Slow Back Away. I wrote some tips on how to do it right: https://t.co/zThrlNL5Ic",2016-03-16 17:41:32,15,1,en
Current mood https://t.co/zmgwyIpMeH,2016-03-16 15:53:52,63,5,en
For me this election is like being on vacation &amp; everyone is in the water but you know it's ice cold &amp; eventually you're gonna have to go in,2016-03-16 05:08:47,88,15,en
CAPTION CONTEST https://t.co/z6HgjkfVXY,2016-03-16 03:15:57,4,0,en
Los Angeles friends: I have some extra tomato &amp; pepper seedlings if anyone wants them. 🍅🌶,2016-03-11 21:43:07,17,1,en
I simply will not rest until I know whether or not every female celebrity is a feminist. https://t.co/SomUdTX8mm https://t.co/itxkHdxjUK,2016-03-11 16:37:59,30,9,en
Here I am investigating the very lucrative and definitely real rape lying industry! https://t.co/u3rqSzOD4t,2016-03-10 19:47:27,32,15,en
Watch me investigate the ridiculous notion that women accuse celebrities of rape just because they want to get rich. https://t.co/u3rqSzOD4t,2016-03-10 00:13:01,159,64,en
Late night show bits are now becoming entire tv shows. But what about bits from the past? In The Year 2000 would make a GREAT SHOW.,2016-03-09 22:30:22,99,9,en
When you leave dinner with the bests @thelindywest &amp; @ahamefulejoluo &amp; then 15 min later pull up at a light next to https://t.co/8D96tpc8Ho,2016-03-09 06:47:09,58,2,en
Happy #InternationalFragileMasculinityDay!,2016-03-08 20:08:34,244,95,en
Happy #InternationalWomenDay it's not even 10 am and I've already had three men tell me I'm wrong on here!,2016-03-08 17:54:51,119,23,en
This project I'm writing for @wnyc is very weird https://t.co/K4KOQFejvw,2016-03-08 02:17:11,63,2,en
"Progress. 

Year three of my garden is next fucking level. (Stop reading now if you find… https://t.co/akzva0VQh2",2016-03-07 01:38:36,26,0,en
LA tonight! I'm at the Improv Lab 8 pm &amp; 10 pm shows https://t.co/LZfLpyjUq2,2016-03-05 19:34:37,4,1,en
Some of these answers read like suicide notes https://t.co/W66vb0LxZy,2016-03-05 17:02:39,47,8,en
AUSTRALIA! I'm making my debut in your country at the @micomfestival Apr 2-17. Come see a show! https://t.co/bsaDsIZaj5,2016-03-03 18:58:33,13,1,en
Hey @BroBible the word female wasn't needed here https://t.co/WvFcnI5CgK,2016-03-03 15:22:00,103,5,en
In case you missed it here's my piece with @NikkiGlaser now in YouTube form! https://t.co/9VNlTH1A3u,2016-03-03 01:56:21,51,10,en
"The single most important quality in my dream home is that it is ""nestled""",2016-03-03 00:10:57,42,1,en
My friend @edmondhawkins made a short featured on TruTV's Late Night Snack &amp; it's so creative &amp; funny!! Watch! https://t.co/arYsI2D1Ui,2016-03-02 22:42:48,6,2,en
I wrote an open letter to someone who really pissed me off. You know who you are. https://t.co/oRUadZYX0J,2016-03-02 19:40:40,20,5,en
"Here I am with @nikkiglaser, just two comedians sitting on vibrators getting coffee. #NotSafe https://t.co/iXnvRsrgva",2016-03-02 19:09:54,52,8,en
Turn on Comedy Central right now! #NotSafe with @NikkiGlaser https://t.co/tbwct4eeb9,2016-03-02 03:35:06,50,3,en
I was on a man-on-the-street shoot recently in Hollywood touristy area &amp; almost every person we interviewed was for Trump.,2016-03-02 01:56:18,202,149,en
Really beautiful to see racists of all walks of life coming together to vote for Trump this #SuperTuesday!,2016-03-02 01:33:44,196,152,en
#SomethingCoolIOnceDid https://t.co/PncQ0jHqDg,2016-03-01 19:26:51,37,3,und
.@jacquelinenovak is brilliant &amp; you need to know her. Buy her brand new book #WeepInPublic. https://t.co/3Jjy5ERsi3,2016-03-01 16:40:17,12,5,en
good afternoon this is a real living thing https://t.co/n5dnIaXal5,2016-02-29 20:27:07,71,16,en
Ladies if you'll excuse me I have a limo filled with pussy waiting for me https://t.co/N1wcQZTvTU,2016-02-29 05:13:52,234,58,en
Finally. https://t.co/ePhDXbCm91,2016-02-29 04:57:50,182,117,en
wow. no words. holy shit. #ladygaga #Oscars,2016-02-29 04:15:12,122,26,en
wow Joe Biden PLEASE ANNOUNCE U R RUNNING FOR PRESIDENT RIGHT NOW #Oscars,2016-02-29 04:11:39,126,16,en
"i told lauren to tweet this, i take full responsibility https://t.co/87tiT2Vhwr",2016-02-29 04:01:00,72,4,en
"In case you missed it, here I am writing about asking for more from Hollywood: https://t.co/4bukkFZrn5",2016-02-29 03:53:10,28,4,en
Chris Rock won't do colleges anymore but he'll still do man on the street. He's still one of us! #oscars,2016-02-29 03:27:19,119,8,en
Very annoyed that The Oscars stole the concept for the Weeknd's performance from my anniversary with my boyfriend. Not cool. #oscars,2016-02-29 03:17:42,45,4,en
That's not a necklace THIS is a necklace #Oscars https://t.co/P7tflLEhAv,2016-02-29 02:51:07,70,20,en
When ur bear rapist shows up to the oscars #Oscars https://t.co/jENIIz39zi,2016-02-29 02:36:53,109,40,en
Real missed opportunity to spray some silver spray paint on your mouths guys #MadMax #Oscars,2016-02-29 02:29:22,137,61,en
THE THANK YOU SCROLL IS WORSE THAN TRUMP,2016-02-29 02:13:42,65,14,en
That Stacey Dash bit was just so we could have some gifs for later right?,2016-02-29 02:05:58,83,26,en
Trump pretending like he doesn't know who David Duke is like when u pretend you haven't googled the shit out of someone on your first date,2016-02-28 22:43:37,82,21,en
found your dad on yelp https://t.co/FExTDYhOHC,2016-02-28 20:24:03,52,5,en
At least once a day I'm duped into clicking on a trending topic that ends up being something about one direction,2016-02-28 17:49:19,65,12,en
Excited to be on @eliotglazer's amazing show Haunting Renditions tonite. He is SO good. https://t.co/ilxvDtzTr6 https://t.co/DscGQ1BpF5,2016-02-27 21:06:24,7,2,en
Not sure what this tells you about me but the only Yelp review I've ever left was for a divorce attorney,2016-02-27 18:02:02,54,5,en
How old do u have to be to be an uber driver https://t.co/QUTcwaQovw,2016-02-26 03:52:47,70,2,en
"I'm gonna start @ replying more women on here. As a woman on Twitter the vast majority of @'s you get are from men, largely unpleasant.",2016-02-25 22:42:23,113,7,en
The headline is a little clickbaity but this article is a great in depth look at actors &amp; women directors. https://t.co/1sxNR0iPLD,2016-02-25 16:13:51,16,9,en
"As long as I've got my suit and tie 
#tbt https://t.co/DYjwZuw56G",2016-02-25 11:51:38,21,0,en
"The ""Trump is def gonna win the nomination"" / ""Chilllll it's fine"" pendulum feels like the ""coffee is/isn't good for you"" news cycle",2016-02-24 22:24:54,58,16,en
Forget the Bechdel Test. I've raised the standards with The Schaefer Test. https://t.co/4bukkFZrn5,2016-02-24 20:07:45,67,27,en
"""I'LL SHOW YOU WHERE THE BALLS WERE"" - line from the fight I'm witnessing over a pool game in this hotel bar",2016-02-24 06:15:01,46,5,en
FINALLY https://t.co/q1uoxwTByX,2016-02-24 06:04:00,42,3,en
"It's interesting bc a lot of my ""clean"" stuff is thematically too scary for me to say to them. ""Hi young women here I am hating myself!"" 🤔",2016-02-23 17:08:46,18,0,en
Performing for some high school kids today &amp; here's my list of appropriate jokes https://t.co/wirwWzhKCK,2016-02-23 17:04:04,73,7,en
"my phone is dead, my computer is at 4%, and the light over my seat on this flight won't work. I guess I have to just sit here and THINK?",2016-02-23 03:51:06,99,7,en
Is there a YouTube tutorial somewhere for denying a rape/abuse claim on social media bc they all sound the same,2016-02-22 23:51:48,206,58,en
It's also kinda annoying if you RT insults,2016-02-21 20:48:53,25,2,en
Presidents gonna president. Info on Senate and House seats up for election this year: https://t.co/hb34zZBQl3,2016-02-21 20:33:06,7,2,en
Dude informs me he's unfollowing bc he can't have me? curious how my existence online would have ended badly for him https://t.co/XAaGaET3ou,2016-02-21 19:06:18,95,8,en
Just realized I've been cultivating the hobbies of an old woman my whole life &amp; now I am actually excited about becoming elderly,2016-02-21 18:06:48,59,8,en
"Easy to make fun of the man wearing a Bluetooth in a romantic restaurant on a sat night but really, it's the woman with him. WHAT. R U DOING",2016-02-21 06:36:39,50,5,en
"Every day I check the Twitter of the smartest person I know &amp; also the dumbest, as a reminder to be better but also like hey, you're doin ok",2016-02-20 16:27:17,174,33,en
When an episode of Wings predicted your main argument with bae 25 yrs ago https://t.co/RHSIFTrZ9H,2016-02-19 20:00:46,39,1,en
here's your rape culture y'all #freekesha,2016-02-19 19:11:57,82,42,en
"This is fucked up. I guess corporations are people after all. 
#FreeKesha https://t.co/dy2KO5u2Vr https://t.co/oLQGiXQx1J",2016-02-19 19:08:47,32,31,en
I read the story about the baby dolphin and I've decided that the human race needs to be taken out back and told about the rabbits george,2016-02-19 18:58:09,69,10,en
Tyler Durden was here https://t.co/ySqdXOM6ZI,2016-02-19 07:19:59,16,1,de
