text,created_at,favorite_count,retweet_count,lang
fuck your “i can’t fold a fitted sheet” jokes i can’t even put one on,2016-03-26 21:12:59,37,3,en
when u wake up and realize u forgot 2 take ur makeup off before bed https://t.co/VMdDNi0pBZ,2016-03-26 15:33:36,106,28,en
cnn keeps talking about a commando unit involved in a raid in brussels &amp; i can't help picturing a bunch of police dudes with no underwear on,2016-03-25 13:30:21,83,9,en
JUST ENCOUNTERED MY FIRST ANGRY TRADER JOES EMPLOYEE AND I AM DELIGHTED ABOUT IT,2016-03-25 01:54:40,170,20,en
when u forget 2 eat breakfast but then u remember it's bagel thursday at the office https://t.co/SYPT4mVdBo,2016-03-24 16:23:50,59,6,en
“come on honey even bridget jones has had a baby by now” - 9 billion moms at easter brunch this sunday,2016-03-24 15:29:02,54,9,en
hey automatic sinks back off you don't know me maybe i want to be dirty,2016-03-24 00:08:04,74,18,en
i hope @realDonaldTrump also spills the beans on his foreign policy,2016-03-23 15:11:00,52,9,en
"always a bridesmaid, never enough instagram followers to get free shit",2016-03-23 14:05:28,76,21,en
man it's windy outside whose dad farted,2016-03-23 04:58:36,28,6,en
terrorists have the tiniest hands,2016-03-22 13:55:38,53,10,en
according to the postmates delivery tracker my driver is sitting in a parking lot eating my food,2016-03-22 04:16:10,90,17,en
what are we even going to write jokes about when trump is gone,2016-03-21 17:05:31,71,10,en
hey hot guys skateboarding with dogs keep it up,2016-03-19 18:50:00,61,8,en
THERE ARE NO DOGS AT THE DOG PARK I WANT MY MONEY BACK,2016-03-19 16:04:44,87,8,en
just had the thought “i’m so excited to do laundry tomorrow!” then kneeled down and cried for my youth,2016-03-18 15:14:46,89,17,en
"just saw a guy with an ""allergic to bullshit"" shirt but he came right up to me so idk",2016-03-18 13:45:41,81,15,en
get your flappy corned beef away from me,2016-03-18 00:37:44,45,17,en
ugh i hate st. patrick’s day my dog is already drunk,2016-03-17 14:01:48,145,53,en
you should not be able to talk or post about trump until at least 8am it's too early for that shit,2016-03-17 12:39:34,60,11,en
how is it that no sports team has a swan as a mascot? swans are monstrous assholes and would be feared,2016-03-16 21:44:31,124,27,en
the way people talk about shake shack opening here in LA i'm afraid i'll get pregnant if i go in there,2016-03-16 14:15:13,53,8,en
tonight my phone died right as i was trying to take a picture of the sunset what a crushing blow to my instagram,2016-03-16 06:11:35,160,19,en
every donald trump supporter looks exactly like what you’d think a donald trump supporter would look like,2016-03-15 18:11:35,151,57,en
5am - 6am: the panic hour,2016-03-15 14:02:13,44,10,en
left my phone charger at the office this must be what dying feels like,2016-03-15 02:45:33,71,12,en
t minus 3 days until trump is signing titties,2016-03-12 15:59:28,45,11,en
wow internet gods thanks for putting 2 ads before a video about a dog dying i can’t wait to never buy those products now good job,2016-03-12 15:33:11,51,6,en
hells yes chi-town,2016-03-12 01:34:22,69,13,en
i remembered to bring my umbrella today like a real adult please pray for me during these confusing times,2016-03-11 16:56:14,46,6,en
listening to ben carson endorse trump is the most i’ve heard ben carson speak this entire election season,2016-03-11 14:20:43,55,9,en
just went to the bathroom without my phone! just like the pilgrims!,2016-03-11 05:03:06,388,171,en
hey girl meditating on the ground next to the food trucks at lunch maybe calm down,2016-03-10 23:36:59,102,15,en
"gonna open a restaurant called hunger games and our slogan will be ""may the odds be ever in your flavor""",2016-03-10 15:39:43,101,19,en
🎧 i'm hooked on a ceiling! 🎧 - fans,2016-03-09 17:52:04,73,16,en
"hey! @elmnt &amp; i made a fun thing! it’s a trump debate response generator, give ‘er a whirl https://t.co/3An1XwYYBx",2016-03-09 15:50:24,19,7,en
if trump really does have a big dick and small hands i may have an idea about why he's so angry,2016-03-09 15:22:12,153,35,en
happy international woman’s day! if you’re over 40 throw yourself in the trash!,2016-03-08 17:56:36,228,57,en
oh my god i'm tired of politics i propose we start doing things lord of the flies style,2016-03-08 13:14:00,73,36,en
shout out to the woman i just saw wearing a comforter you do you boo,2016-03-08 02:31:35,81,14,en
i hope i die before i find out what dabbing is,2016-03-07 23:00:50,80,16,en
HELL YES ERIN ANDREWS,2016-03-07 22:46:36,77,11,en
nothing more depressing than hearing a shooting suspect has a newer model car than you,2016-03-07 15:29:55,68,13,en
"can you call into work ""my dog is afraid of storms""",2016-03-07 15:07:22,78,9,en
"sorry, i had too much in my bowl to drink last night https://t.co/oN1YveQUVa",2016-03-06 15:59:00,42,0,en
whoever invented brunch gets my vote,2016-03-06 04:15:51,123,48,en
real talk i love seeing old people buying candy so much,2016-03-06 01:24:26,70,4,en
phew finished breakfast just in time for lunch,2016-03-05 19:52:36,90,23,en
when u want 2 be santa but ur just a husky https://t.co/dgPP1mlVlP,2016-03-05 16:49:10,142,37,en
oh no i have things to do tomorrow why did i start house of cards,2016-03-05 04:25:00,68,13,en
please don't hit on me while we're in line for costco samples i'm focusing,2016-03-04 22:16:32,224,53,en
it should be a hate crime to make us all think about trump's dick,2016-03-04 15:36:23,107,21,en
did you know you can adopt a barking alarm clock at any local shelter,2016-03-04 15:23:09,96,28,en
very disappointed no one else revealed their dick size in the closing statements real missed opportunity there #GOPDebate,2016-03-04 04:02:16,193,63,en
we elect dogcatchers? i have learned so much #GOPDebate,2016-03-04 03:14:16,79,28,en
"""policy""
audience: ""meh""
""torture""
audience: ""YEAAAAH MORE MORE""
#gopdebate",2016-03-04 03:00:18,83,45,en
for our own safety now we must build a wall around trump’s dick #GOPDebate,2016-03-04 02:44:35,73,24,en
OMG I JUST SAW THE CRUZ CORN #cruzcorn #GOPDebate,2016-03-04 02:38:24,22,0,en
the audience booing makes me think there was an open bar before this #GOPDebate,2016-03-04 02:36:07,48,2,en
people still write checks? #GOPDebate,2016-03-04 02:32:31,30,7,en
every woman on CNN that’s a trump supporter seems like they lost a pageant in high school and they’re still pissed about it,2016-03-03 20:12:47,178,46,en
sometimes i worry i might pet my dog to death,2016-03-03 15:49:06,56,11,en
the woman on the right's expression listening to the trump supporter on the left 💯💯💯💯💯💯💯💯💯💯 https://t.co/dcRL4Txg5m,2016-03-03 15:14:11,92,10,en
WELCOME BACK BINDERS FULL OF WOMEN,2016-03-03 14:54:32,61,12,en
do you think oprah even cuts into her loaf of bread or do you think she just bites into the whole thing,2016-03-02 16:15:44,113,34,en
it’s not even noon and i already give up today,2016-03-01 19:59:02,85,28,en
pretty embarrassing for the KKK that they endorsed an orange candidate and not one that's white,2016-03-01 15:06:04,164,53,en
HOW CAN IT BE A SUPER TUESDAY WHEN RENT IS DUE,2016-03-01 12:38:33,87,31,en
sorry your racist uncle is mad there's an extra day of black history month this year,2016-03-01 00:53:38,132,22,en
there's no way melania and donald sleep in the same bed,2016-03-01 00:22:43,78,9,en
"1st 5 minutes of walk: i'm so glad i have this jacket!

last 55 minutes of walk: oh god i'm melting here bush you take it",2016-02-29 16:04:39,136,32,en
someone is not too pleased with leo's win #oscars https://t.co/4Jb9VkJ4Ae,2016-02-29 05:01:23,114,28,en
if the bear doesn't win tonight i am calling peta,2016-02-28 20:12:24,53,25,en
"maybe @realDonaldTrump should change his slogan to ""make america hate again"" instead",2016-02-28 15:24:01,105,47,en
oh hell no trump just slammed oreos,2016-02-27 19:16:07,29,8,en
a food truck but for puppies to pet,2016-02-27 15:03:52,154,70,en
imagine the horror of sleeping with some who makes youtube comments or is excited about fuller house,2016-02-26 13:57:47,112,25,en
everyone that says the witch is the best new horror movie did not just watch that republican debate,2016-02-26 03:54:37,111,37,en
“you wouldn’t think this beautiful place with trees would have heroin”  - you know who,2016-02-26 03:42:19,28,6,en
at this point i take the muppet show more seriously than a republican debate,2016-02-26 03:34:21,98,34,en
i think my dog is a fuckboi :/,2016-02-25 16:35:20,155,42,en
not gonna lie i miss white bread,2016-02-25 08:30:01,33,4,en
i wonder if all other bunnies are jealous of the easter bunny like yeah dude we get it but you work one day a year so back off,2016-02-24 14:20:03,67,5,en
where do i write a yelp review for men,2016-02-22 19:30:09,217,91,en
hey government if you really want to break into that terrorist’s phone don’t ask apple ask reddit,2016-02-22 15:31:11,68,18,en
just realized i bought my dog a chevron collar and that i’m the problem,2016-02-22 15:27:05,33,2,en
just remembered i saw an old man in jeans jogging with a banana yesterday or maybe he just stole somebody's banana idk,2016-02-21 20:41:59,55,3,en
can’t tell if i’m more exhausted from 10 miles of hiking yesterday or from watching election coverage,2016-02-21 19:07:24,43,7,en
i think my dog is actually a meerkat https://t.co/8qGD4ZB14y,2016-02-21 16:48:12,59,4,en
there's no way hardee's isn't a drug trafficking front,2016-02-21 05:41:08,64,8,en
*jeb sits on barbara’s lap as a single tear falls onto his trousers*,2016-02-21 00:38:25,60,17,en
how many journalists will use winner winner chicken dinner for their nevada caucus headline 9 million or 10,2016-02-20 22:58:36,27,4,en
thinking about committing a murder so i can get one of these fancy death row last meals i keep hearing so much about,2016-02-20 16:18:13,71,8,en
i wonder where oprah's eating bread right now,2016-02-19 21:24:57,177,60,en
i hope that judge doesn't have a daughter #freekesha,2016-02-19 20:02:51,90,40,en
somebody's gotta bite the bullet and tell the weeknd he spelled his name wrong,2016-02-19 16:17:27,142,47,en
thanks 6 am alarm clock but anxiety's got this,2016-02-19 14:01:00,190,49,en
my dog has the hiccups in his sleep nobody move i need this to go on forever,2016-02-19 13:39:59,93,8,en
what if we build a wall around donald trump,2016-02-18 17:55:55,229,118,en
truly jealous of my dog's confidence level as he openly licks his phantom balls in my presence,2016-02-18 17:23:34,38,5,en
"""we should take care of the mentally ill"" - ben carson 
oh wow!
""because it will be cheaper""
GOD DAMMIT",2016-02-18 01:47:24,59,11,en
"""i'm not looking for a job"" - ben carson, presidential candidate",2016-02-18 01:36:30,39,10,en
"“if somebody got killed by a bear, everybody took care of their family” - ben carson, in the town hall debate just now, and my suicide note",2016-02-18 01:26:21,52,12,en
