text,created_at,favorite_count,retweet_count,lang
To everyone saying nice things to me: I love you. To everyone being a real dick cheese: go to heck. To my mom: i love you mom,2016-03-22 20:11:00,233,14,en
There are no rules here you can post whenever you want,2016-03-22 19:39:56,96,8,en
Bumper Sticker: My Son is an Honors Student in my Balls,2016-03-22 19:39:40,84,13,en
Ok back to hibernation bye,2016-02-08 07:35:15,39,3,en
Tfw now you need to win another super bowl whereas before tonight you did not https://t.co/kW2lRYJCHO,2016-02-08 07:34:55,162,19,en
The real winners tonight: everyone who saw bruno mars do dance moves,2016-02-08 07:31:14,93,28,en
When you had money on denver and you're also a pervert https://t.co/n6iBJq6eWB,2016-02-08 07:19:59,213,24,en
When you see some bad guys but you're stuck in a tree https://t.co/zcaOfhoJsM,2016-01-02 21:59:39,460,96,en
I've been penetrating the internet for years,2015-12-16 04:49:36,140,16,en
Mayor of NY is talking shit about us closing schools like he's trying to bring back the biggie tupac east west beef,2015-12-15 19:19:59,64,7,en
Exclusive pic of Jeff Goldblum and Bill Cosby https://t.co/KR6eC8o7hR,2015-12-15 03:08:57,316,58,en
Crazy but true: I have never been wrong about anything,2015-12-15 00:01:09,163,49,en
December the fourteenth be with you,2015-12-14 23:56:10,96,17,en
Hows bout a ramen spot called Tasteful Noods,2015-12-14 20:46:23,473,159,en
Tfw you crush a joke https://t.co/xVESx5xlPe,2015-12-14 20:05:09,81,8,en
Trump's doctor looks like he also sells car insurance,2015-12-14 20:02:20,40,5,en
Like most young girls I broke my heisman while horseback riding,2015-12-14 19:05:44,161,15,en
"Quarterback: your butt looks great
Center: thank you so much
Quarterback: BLUE 42, HIKE",2015-12-14 05:58:46,143,32,en
"Starting to suspect some of these ""Favorite star wars characters"" pics you guys are posting are not from star wars",2015-12-14 04:54:53,100,7,en
My posts may be dumb but at least I am a stupid person,2015-12-14 03:41:31,167,53,en
#PostYourFavouriteStarWarsCharacters https://t.co/MtVrRzNvq3,2015-12-14 03:24:10,94,14,und
Iced Tea walks into a bar and everyone groans. He is generally disliked,2015-12-14 01:35:55,144,27,en
[notices the horse shoes on lucifer's hooves] What are those,2015-12-14 01:07:13,98,19,en
When your life is a lie https://t.co/tyLf8Z9v1T,2015-12-13 23:56:52,212,41,en
I bet tom cruise is more of a bottom gun if you catch my drift,2015-12-13 23:56:06,164,16,en
When you know some shit you're not supposed to https://t.co/8TI1FYhPSS,2015-12-13 23:18:32,228,46,en
Can you have the oedipus complex with someone else's mom,2015-12-13 22:51:40,134,25,en
"(cleveland football meeting)

Guy 1: Ok fellas what should we name our team
Guy 2: Anyone else here partial to feces",2015-12-13 22:41:07,165,35,en
"""Let's call this part of the boat a poop deck"" - guy who snuck into the meeting",2015-12-13 20:08:40,292,75,en
