text,created_at,favorite_count,retweet_count,lang
This is the funniest thing i have done/will ever do. It is the only thing I'm proud of and what… https://t.co/eQtVaJMBb9,2016-03-26 06:28:31,41,1,en
This kid is too young right? https://t.co/eZAkIGBu5q,2016-03-26 05:24:53,67,3,en
"I love to watch the #warriors I love to cheer and yell and say ""yes baby!"" when the ball goes in",2016-03-26 04:36:48,82,2,en
"My dog always goes outside to eat the treats I give him. Is it because I spend all day calling him my ""fat boy"" and rubbing his belly?",2016-03-25 16:42:57,131,6,en
A safe word but for tickle fights.,2016-03-25 06:03:00,166,23,en
I wrote my brother's gender studies essay for 35$ and a box of tampons he hid from me.,2016-03-25 05:41:17,153,9,en
Remember all those times I commented on how Paris Hilton just stays home&amp;posts videos of her dogs all day? https://t.co/5FaRcF4jDK,2016-03-25 05:38:22,52,2,en
I guess--for me--the most fulfilling part of becoming a famous DJ was figuring out the font my name would be written in on posters.,2016-03-25 02:07:32,105,15,en
Things are going WELL at my parent's https://t.co/7aCzgraJ2R,2016-03-25 01:48:37,34,0,en
"Just ""game recognize game""ed with a well dressed child.",2016-03-25 00:15:01,135,20,en
"I think I'm really getting the ""hang"" of snap chat https://t.co/culx3r2Ugf",2016-03-24 17:12:14,82,4,en
"Young people! Why do we let the adults jeer us with taunts of ""millennial?"" It is OUR time! OUR turn to Cowabunga at *them*!!!",2016-03-23 17:49:36,187,29,en
Same https://t.co/l6zRMlEkcf,2016-03-22 22:24:27,104,12,en
"Chris Evans and Scarlett Johansson star in 2007's ""The Nanny Diaries.""",2016-03-22 03:28:55,83,3,en
Whoops! Goosebumps movie on Netflix was too spooky and had to turn it off! Taking stock of my life!,2016-03-22 01:01:14,93,5,en
"How do I know if I'm being ""too much"" at my doctor?",2016-03-22 00:28:00,80,8,en
Eva Longoria and Channing Tatum are our two best comedic actors working today and I hope that haunts you at night.,2016-03-21 23:36:35,149,14,en
"Look, there's lots of ppl telling you what to do every day,&amp; I don't want to add to the list,but u gotta watch last night's @CarmichaelShow.",2016-03-21 18:44:43,36,13,en
"10:31 am: Has cried at Pixar Short, twice",2016-03-21 17:31:38,105,3,en
"SERIOUS&amp;&amp;IMPORTANT Q: If I have no nostalgia,whatsoever,attached to Pee Wee Herman, will I enjoy the new movie?",2016-03-21 05:15:16,54,3,en
"I need ankle surgery and am deeply comforted by the fact that Steph Curry, too, sustained a catastrophic ankle sprain early in his career.",2016-03-21 04:52:29,138,6,en
Manic Pixie Chill Girl,2016-03-19 23:09:44,127,19,en
Always bring your own black licorice to the club.,2016-03-19 06:38:55,89,6,en
Heard a lot of Phil Collins on the radio today.... But did I *listen*?,2016-03-18 03:56:49,118,12,en
"My dad folded my laundry even tho I just asked him to dry it&amp;wanted2cry from how nice he is; instead I said ""oh cool u didn't forget 4 once""",2016-03-17 18:04:55,180,4,en
"Everytime I post an av club review I spend ~hour in bed worrying like ""did I accidentally put in smthing abt anal prolapse? I did didn't I""",2016-03-16 07:38:52,84,2,en
I'm a mouthy bitch who loves to cuddle!!!!,2016-03-16 07:21:41,305,92,en
Dope that every motherfucker under 25 turned into a radical liberal/poly sci major the second a woman became a serious presidential hopeful.,2016-03-16 04:19:23,768,176,en
I love @realDonaldTrump I want to kiss his soft skin and twirl my fingers betwixt strands of his gossamer hair O! O! Let him see this o God!,2016-03-16 02:17:16,94,11,en
"My sweet, intelligent, PhD graduate, physicist father asked me how to spell ""senioritis"" and ""yeah"" in the span of less than 3 minutes.",2016-03-16 02:15:44,84,3,en
My whole life women outnumbered men in our house 4:1&amp;I never realized how good I had it until trying2make basic dinner plans w/just dad&amp;bro.,2016-03-15 17:49:59,63,3,en
My dad bailed on me to go to a #Warriors game.,2016-03-15 01:36:24,49,0,en
https://t.co/qq3lcYbhqa,2016-03-15 00:47:24,21,6,und
https://t.co/3pfwRqjoPz,2016-03-15 00:35:08,93,11,und
Drake is the Michael Jordan of getting grinded on in music videos.,2016-03-14 17:02:22,121,23,en
Trebek is so fucking full of himself it's almost thrilling,2016-03-14 05:23:57,120,10,en
That farmer's daughters Dodge ad shows both brothers in same car but then the POV shot shows 2 cars--who's driving second car?,2016-03-14 03:31:31,32,3,en
Trump is the Winston Churchill of bullies. Most have to regurgitate what ppl tell them is bad but he'll just pick anything out. A visionary!,2016-03-14 00:17:45,28,3,en
HOT IDEA A HITCH ESQUE COMEDY ABT WOMAN WHO COACHES CONTESTANTS OF BACHELOR-TYPE SHOW(GETS PAID ON COMMISSION THIS WILL FACTOR INTO 3RD ACT),2016-03-13 23:21:32,118,4,en
I blame all of u for Neil deGrasse Tyson's trash tweets. You coddled the boy and now he's never quiet during naptime or sits during stories.,2016-03-13 22:25:15,218,35,en
Realized a #dick can actually technically sometimes be #gooey and now I #hate my tweet and my #husband,2016-03-13 19:19:08,50,0,en
I love my #husbands big gooey #dick,2016-03-13 19:08:17,87,7,en
I miss my dog a lot.,2016-03-13 08:34:57,47,6,en
I miss my grandpa a lot.,2016-03-13 08:34:45,43,3,en
I miss my sisters a lot.,2016-03-13 08:34:27,31,2,en
"Last night bf slept holding giant pillow/pushing me away w/it&amp;2day said ""y'd u put that giant pillow b/w us?"" Watching him snore rn: murder?",2016-03-13 08:16:15,97,5,en
"*chuckles* well o this is...this is quite embarrassing....I, well, I don't care",2016-03-13 07:53:45,41,14,en
Kanye West explained what a zine is to us.,2016-03-13 07:40:08,67,5,en
I schedule an alarm for 2 am every night so I can squeeze in my daily hour of coughing.,2016-03-12 10:22:42,103,6,en
"Oh, oh this is a GIFT !!!! https://t.co/237Ed7L6Vy",2016-03-12 00:18:19,332,91,en
"Sometimes I tweet a politic thing then ppl reply 2 me &amp;I think no, no thank u! &amp;I delete the thing, b/c I am a weak man w/soft, velvety skin",2016-03-12 00:15:01,121,6,en
It's very difficult for a young progressive (white?) wmn 2back Hillary b/c of what she's done2survive while also relating2attempt @ survival,2016-03-11 20:30:40,76,10,en
Two fearsome Giants..... duking it out in a battle of....... epic proportions.. https://t.co/Je5JqWD05Q,2016-03-11 04:39:58,89,2,en
"People mock girls for being dramatic as if Candide wasn't all ""I have wanted to kill myself a hundred times"" like the bitchiest tween ever.",2016-03-10 22:59:27,147,25,en
Entering an Orson Scott Card level conspiracy theory about a creator's slide into dementia over here https://t.co/2eXD3lUdZQ,2016-03-09 18:56:20,62,4,en
HI AM I THE BIGGEST MESS IN THE WORLD OR ARE ALL ADULTS MESSES MOST OF THE TIME WHAT IS THE SLIDING SCALE OF ADULT MESSINESS PLZ REPLY ASAP,2016-03-09 01:59:04,177,45,en
a healthy young woman with all her blood still in her body https://t.co/2JKroo28hP,2016-03-08 20:45:45,162,4,en
it's not a #humblebrag i have a boyfriend because i am perfect and pure like morning dew; a puppy's velvet ears; warmed bagel bites,2016-03-08 03:00:56,136,6,en
What if my boyfriend ever finds out what I look like naked?,2016-03-08 02:51:51,152,6,en
yo soy flu,2016-03-07 21:14:49,39,0,es
It is so hard to be so stupid all the time. U should respect me for still being alive. I get a medal for not crawling into a fire as a baby!,2016-03-06 18:25:12,225,42,en
Just dropped/lost my phone in a Megabus toilet because I am garbage and have done garbage things and I deserve my life to be garbage,2016-03-06 17:57:18,173,8,en
"What if Hillary ran as Republican? Or like ""southern Democrat?"" Is there any way to have whole election b Sanders v Hillary? More time plz!!",2016-03-06 17:17:21,121,6,en
Honestly though Melania's Twitter feed is very #calming,2016-03-06 16:39:16,22,1,en
