text,created_at,favorite_count,retweet_count,lang
Bivouac is absolutely the coolest store in Ann Arbor! Super friendly and knowledgable staff and plenty of them! Also dogs in the store!!!😀😀😀,2016-03-22 21:09:36,3,0,en
This is what you get for stretching this to two hours... https://t.co/KSXsa5h65n,2016-03-13 22:16:06,2,0,en
Bracket leaked!!! Michigan is in!!!,2016-03-13 22:13:57,0,0,en
Lol he didn't get it off,2016-03-12 04:52:27,0,0,en
Today my snapchat account got locked cuz I wanted to test the birthday filter so I said my bday was today. Turns out you need 2 b 13 to snap,2016-02-24 19:31:28,6,1,en
Hey @UMengineering what are the chances we could turn the north campus reflecting pool into an outdoor ice rink in the winter?,2016-02-19 18:24:20,1,0,en
All the years of training and early mornings paid off (jokes)!!! I'm now an inter tube water basketball champion! https://t.co/F8rvpN2Uhg,2016-02-16 03:49:40,3,0,en
This 12 year old on master chef junior is beating himself up because he undercooked his pig ears... I ate Mac n cheese tonight and I'm 21,2016-01-23 01:45:19,13,1,en
I LIKED THAT!!!,2016-01-17 04:38:55,3,0,en
This has to be the best playoff game of all time.,2016-01-17 04:27:39,0,0,en
"Great news US government, I found a foolproof plan to get rid of the national debt! Just win the Powerball 14,615 times!!!",2016-01-10 06:46:18,7,1,en
"Played in 3 fantasy football leagues this year, 1 free one and 2 money ones. Guess which one I won?",2016-01-04 17:05:44,1,1,en
"Fun CS challenge: try to explain to a non CS family member what an algorithm is and how mergesort works!
Extra credit 4 an older generation!",2015-12-28 20:57:28,1,0,en
Just one last final until I get to relax then head home! Just in time for Christmas 😃😃😃,2015-12-23 15:55:23,4,0,en
Shoutout to the birds that stayed optimistic and stayed north this year and are enjoying the nice weather 🐤🐤🐤! #RoadLessTraveled #DiffMakers,2015-12-22 17:02:11,3,0,en
What is the correct order to rewatch Star Wars in?,2015-12-16 17:50:56,0,0,en
"Need your help twitter verse:
Is Arby's a top 10 fast food restaurant in America? Do not take this question lightly",2015-12-10 23:03:46,0,0,en
"Keeping the positive vibes going:
Today I got free cookies in class and got 9 hot dogs in an 8 hot dog pack cuz of a packaging mistake!!!",2015-12-08 23:28:09,6,0,en
