text,created_at,favorite_count,retweet_count,lang
LIVE FOOTAGE FROM SANDERS HQ https://t.co/tUUSdSIVHS,2016-03-27 07:56:08,23,7,en
https://t.co/0xs6XaOEjS,2016-03-27 05:47:48,15,1,und
https://t.co/aBeJpLMkhG,2016-03-27 05:40:10,14,0,und
and when you get to the voting booth go ahead and tell 'em Big Patty sent ya. https://t.co/WchU7IqJZq,2016-03-27 05:33:50,15,2,en
by the way some cool nerd is doing a good job tabulating the raw vote totals that have been shared on social media https://t.co/38qf7uObOl,2016-03-27 05:01:33,2,0,en
a man called gregory raised eyebrows by painfully trying to get laid at the caucus. https://t.co/8DS1AHhX2n,2016-03-27 04:58:10,5,1,en
THE VANCOUVER GOLDEN GIRLS REMAKE LOOKS TIGHT AS FUCK https://t.co/81q6XAv8AZ,2016-03-27 04:55:49,6,0,en
HEY Y'ALL TAKE A MOMENT TO APPRECIATE @juliaprescott THE DUCHESS OF THIS THEATER SCHOOL WE CALL LIFE.,2016-03-26 23:27:36,3,0,en
OH MY GOD THEY'RE PLAYING RUFUS WAINWRIGHT AT DOWNTOWN DISNEY. THAT DUDE HAS A SONG ABOUT JESUS BEING BAPTIZED IN CUM. DISNEYLAND RULES.,2016-03-26 22:55:39,37,1,en
oh my god just walked by russell wilson's basic ass at disneyland on a saturday what a boring virgin man dang.,2016-03-26 21:01:17,8,0,en
it's about time instagram started showing me ads for products that fit my lifestyle. https://t.co/bCgFfNOOTX,2016-03-26 08:22:46,16,0,en
i think i *hate* small business owners???,2016-03-26 03:42:03,16,0,en
it's portland so that bird is a DJ at a burger bar.,2016-03-25 23:50:20,21,0,en
oh man if bernie is getting birds that means right now somewhere in florida jeb bush just got engulfed in a swarm of bees.,2016-03-25 23:49:07,24,1,en
tfw u agree with a bird politically https://t.co/UULBncPCCy,2016-03-25 23:30:18,9,0,en
"birds like hillary too, somewhere a raven just landed on vince foster's grave.",2016-03-25 23:26:46,32,8,en
trump ABSOLUTELY woulda ozzy osbourne'd the shit outta that bird because he is a consummate entertainer who gives the people what they want.,2016-03-25 22:53:59,10,3,en
great bernie spent ten minutes with native americans in arizona and now he can summon birds.,2016-03-25 22:49:40,19,7,en
bird: 🎶this is my message to you-ou-ou: why is all of the new wealth going to the top one half of one percent?🎶 https://t.co/lbd9fxcew6,2016-03-25 22:40:48,40,13,en
"hi @RamonesOfficial can u change it to ""hey ho let's go (register dem TODAY to vote in NY's primary election)""? thx https://t.co/HRpnnVDHm2",2016-03-25 21:12:13,1,0,en
