text,created_at,favorite_count,retweet_count,lang
"it may come as a shock to some because I am very polite, but I have been kicked out of many events in my lifetime.",2016-03-25 05:46:33,556,117,en
in high school i was kicked out of the Model UN summit for using their courier service to send threatening messages to the nerd countries,2016-03-25 05:43:57,1040,228,en
A very happy birthday to @davedittell and a very sincere RIP to Gary Shandling. I just wish they were the reversed is all.,2016-03-24 21:34:35,272,16,en
2008 will always be the year that I argued with my girlfriend to include a Modest Mouse song on our sex playlist,2016-03-24 04:13:06,1014,132,en
When I don't sleep enough I feel like shit. When I get enough I feel great. I just wish there was something I could do with this information,2016-03-22 14:36:34,3579,1750,en
"I bet when you're old and bump into an acquaintance you think: ""I'll probably die before I see that person again.""
I'm gonna like that part.",2016-03-22 02:15:09,1169,294,en
"""Ah, rap. The poetry of the streets.""
*reads average income of poet* 
""Ah, poetry. The poetry of the streets""",2016-03-21 17:26:02,1111,344,en
I like to show up to movies late with my 7 friends and gesture like the rest of the audience conspired against us so we can't sit together,2016-03-20 21:03:40,1283,286,en
"Donald Trump slammed my head into a wall at a Chicago urinal in 2009 and then walloped my nards with his fists.
#TrumpScandal2009",2016-03-20 05:30:51,664,129,en
"I just listened to 70s progrocker ""MeatLoaf"" for 1st time and ive got to say: he sucks shit and if I had to hear him everyday Id kill myself",2016-03-20 04:08:34,385,46,en
"Everytime I write a to-do list, i secretly think, ""this will be the day I turn it all around""",2016-03-20 04:01:14,1160,504,en
"me: behold, Daredevil, the blind superhero.
blind kid: that's so cool! what's his power?
me: he uhhh, always knows exactly where things are.",2016-03-19 05:59:19,1524,453,en
"Doctor: your constant fear that people don't like you has, appropriately, made people not like you.
Me: I said ""my knee hurts""",2016-03-18 18:55:00,1410,501,en
"my enemies are lucky that I can't draw, for i would not hesitate to draw them in embarrassing and demeaning positions with local wildlife.",2016-03-18 05:39:23,1070,248,en
"Top documentary genres:
1) holy fuck, nature! dude!
2) extra evil murderer
3) losers who don't know they're losers
4) whale/dolphin/sushi",2016-03-18 02:46:23,1291,437,en
"HOUSEFLIPPERS (TV)- COUPLE SIGNS OVER RIGHTS TO THEIR HOUSE, WE FLIP IT OVER USING CRANE. FURNITURE NAILED TO CEILING. DOG FINE BUT STARTLED",2016-03-17 01:12:37,1356,462,en
"Mike Ginn, Time Traveler: so that's Daft Punk, pretty INSANE huh?
Mozart: haha ya totally. Say, can I see some of that 'pornography' again??",2016-03-16 17:40:22,827,198,en
"Fifty years ago if someone was reading a newspaper it meant they were bored now if I see a guy with a newspaper I'm like, ""quit showing off""",2016-03-16 16:29:44,1302,305,en
"Tiny house living, hour 1: how quaint!
hour 4: crapped in toilet and now the kitchen smells like shit, wife mad.
hour 6: wife a hypocrite",2016-03-15 01:32:03,1056,215,en
I like to think #1 and #3 are all the same people exactly one year apart https://t.co/yaKSG68Vhb,2016-03-14 22:19:09,1269,325,en
This settles about half of arguments online imo https://t.co/mn2UwZe6Z9,2016-03-14 18:59:39,1491,534,en
a Snapchat filter gave me a nightmare,2016-03-14 04:53:08,490,132,en
mmm gonna go to a flea market... buy some old racist laminated advertisements...gonna get me a wooden phone case with a dream catcher on it,2016-03-13 19:57:33,528,82,en
.@DonaldJTrumpJr when i first heard your name I wasn't sure if you were Trump's son or his children's clothing line.,2016-03-12 03:29:05,897,227,en
Coworker's Chick-fil-a breakfast: chicken &amp; waffles w/side of nuggets. Side. Of. Nuggets. Say that aloud. Feel your tongue touch your gums,2016-03-11 18:36:41,414,78,en
I love restaurants with iPads I have all my receipts texted to my ex. Thats right Jen you missed out on a ton of pizza. hope the babies cool,2016-03-10 00:37:36,1625,430,en
"lol (tweet off to great start) someone in movie theater is on iPad but its Gods of Egypt so everyone is like, ""anything good on that iPad?""",2016-03-09 03:33:16,975,161,en
i heard someone said some stupid shit online today.,2016-03-07 07:39:56,606,200,en
I just talked to the writers from The Office and they told me that after the series ends Jim Halpert abandons his family sorry folks,2016-03-07 01:55:52,1874,585,en
"Being 28-2016: I'm not ready for a relationship
28-1816: I have 13 kids
28-1000BC: I lived a good life, thrice I ate a berry and once a pear",2016-03-06 05:53:18,12797,6143,en
"When a dog likes you more than its owner thats called ""Dog Cuckolding"" and its what I live for",2016-03-05 15:49:39,1341,526,en
Pointed my laptop streaming Deadpool towards House of Cards on TV and now the characters are talking to each other.They say I should... Kill,2016-03-05 04:06:45,622,97,en
"I couldnt sleep last night so I decided to count sheep jumping over a fence, but I just ended up laughing because one of them was SMOKING",2016-03-04 23:19:02,643,134,en
I want to put a 'Honk If You Love Jesus' bumpersticker on a goose,2016-03-03 21:58:38,990,327,en
"It's called an ""Atlas"" you idiots #WorldBookDay",2016-03-03 13:21:56,2294,1252,en
[sniffing milk to see if it's gone bad] i can't remember what milk smells like,2016-03-03 03:33:32,1228,451,en
I wish someone would break my heart so I'd have something to think about when I look outside and its raining,2016-03-03 00:22:05,1342,378,en
Thirteen 90s Nickelodeon Shows You Won't Believe You Forgot. pPlease. Please Click They Have My Daughter,2016-03-01 20:17:22,1148,369,en
"I saw a janitor clean the whole escalator handrail while standing in one spot and I whispered ""fuck yeah,""  under my breath",2016-03-01 02:09:29,1329,298,en
America was great when I was young and my future was limitless. Now that I'm old and the doors all closed... America has become very bad.,2016-02-28 17:39:14,706,157,en
Once a woman sent me a nude and I could see she had a bag of Doritos tucked under her pillow and frankly now she is my wife.,2016-02-28 09:45:25,1762,367,en
"(Thinking about what to say to 100,000 people): hmmm pee pee",2016-02-27 15:18:40,376,54,en
If I saw a guy from ISIS I would beat the shit out of him unless he was bigger than me in which case I would have no choice but to join ISIS,2016-02-27 04:10:53,1083,218,en
"I'm watching ""Love"" and it's really making me want to have an out-of-my-league chick pull me out of my self-imposed shell.",2016-02-26 01:41:27,755,140,en
The worst part about aging is starting to look up to people younger than you,2016-02-25 20:40:39,688,183,en
The fact that they call it the Food Pyramid and not Food Triangle implies it has at least two other sides.  So maybe this much taffy is OK,2016-02-25 06:09:25,4272,1950,en
"Damn Deadpool, you just broke the fourth wall. That was like, the last wall.  We're just standing in a field now. This fucking sucks man",2016-02-24 06:59:42,997,237,en
Others can't love you unless you love yourself. No pressure though.,2016-02-24 00:45:18,957,394,en
"""they joke that I'm the Zodiac Killer?"" ponders Cruz. ""Thats funny and I get it,"" he laughs, his left eye blinking a moment before the right",2016-02-21 17:46:26,1678,518,en
"Late night tweets: ""I'm feeling needy and now it's your problem""",2016-02-21 09:23:33,948,329,en
