text,created_at,favorite_count,retweet_count,lang
"""that's not love it's lust""
""who gives a shit""",2016-03-26 19:15:23,1101,417,en
the light at the end of the tunnel was just somebody's phone,2016-03-26 17:05:17,1086,596,en
do you feel me thinking about you,2016-03-26 04:50:07,2066,1103,en
gonna spice things up this weekend with a little hiding alone in my room,2016-03-26 04:09:48,1742,954,en
yes I am a slut and yes I will abandon you at a party to go have sex and that is part of my charm,2016-03-26 03:55:06,1461,275,en
"god: hi
me: sorry i eat animals
god: do i exist?
me: do u think i'm hot?",2016-03-26 03:40:47,1093,336,en
bitch i might enjoy my self-defeating behaviors,2016-03-26 03:15:08,855,335,en
heartache is my shit,2016-03-26 02:50:07,985,487,en
"⚪ feel feelings
🔘 no",2016-03-26 02:47:55,1371,795,en
think of how much life i've gotten to avoid by tweeting this much,2016-03-26 02:19:40,821,420,en
i don't do drugs i am drugs (really bad drugs that no one would want),2016-03-26 01:00:31,1154,558,en
*me flirting with someone* do you think i'm going to be okay?,2016-03-25 21:55:34,1895,913,en
my hot neighbor came outside shirtless and said 'hi' and i wanted to say 'I WAS IN THE FADER THIS WEEK' but I said 'hi',2016-03-25 21:50:44,521,43,en
can you feel my desperation through the internet,2016-03-25 21:06:13,998,548,en
"me: hi
people: can you just polish up your sadness a little before you try to talk to me",2016-03-25 20:25:05,1265,470,en
body type: cake,2016-03-25 20:20:06,942,680,en
"beauty secret:
ignore your parents",2016-03-25 20:10:07,1232,659,en
"i'm scared of stillness, moving, people, loneliness, being alive, dying, speaking and never speaking again",2016-03-25 19:49:01,1294,582,en
your opinion is so cute and dumb,2016-03-25 19:39:37,1235,723,en
well u may be hot &amp; in love &amp; chill &amp; into surfing or some shit &amp; u look like a human instagram filter &amp; your whole life is ahead of u but,2016-03-25 19:33:56,1027,312,en
same shit different boy,2016-03-25 04:23:40,2333,1045,en
my idea of a hot night is eating peanut butter out of the jar,2016-03-25 03:50:14,1355,618,en
walk into the club already crying,2016-03-25 01:40:25,1319,657,en
*whispers during sex* i'm ashamed of how much i tweet,2016-03-25 01:25:47,1870,935,en
sometimes you just have to do what's worst for you,2016-03-25 01:15:35,1494,1034,en
"your ""positive energy"" scares the shit out of me",2016-03-25 00:56:38,1304,681,en
by 'come over and fuck me' i meant talk about my vast array of feelings for 4 hours,2016-03-25 00:45:11,1298,387,en
high on regret,2016-03-25 00:19:46,940,677,en
ruin my life in a cute way,2016-03-24 23:20:28,1732,1258,en
when i'm about to die remind me how much i don't like everything,2016-03-24 22:34:15,1335,661,en
if you're going to be fake at least be good at it,2016-03-24 22:10:33,1510,1103,en
my favorite people are the ones who don't exist,2016-03-24 20:20:31,1081,681,en
"life, or as i like to call it, blehhhh",2016-03-24 20:19:58,831,489,en
it's not your fault you were born,2016-03-24 19:15:47,990,543,en
"i'm not sad girl Twitter I'm scared human being with Wi-Fi but this is p chill, thanks @haleymlotek
https://t.co/2dtvuDdy8N via @newyorker",2016-03-24 17:48:22,234,29,en
"the science of happiness: 
-never leave the womb",2016-03-24 13:10:38,1199,640,en
⚡️⚡️⚡️⚡️⚡️ https://t.co/041LLyxPFO,2016-03-24 12:54:16,516,67,und
"today's stats:
-still don't know why we're here",2016-03-24 12:10:48,890,565,en
am i just a piece of cookie on the floor,2016-03-24 12:04:39,936,745,en
i'm not sad girl twitter i'm an insomniac with a phone,2016-03-24 11:50:17,1052,470,en
finding new ways to be not enough,2016-03-24 05:01:26,1421,767,en
don't mind me i'm just making the same mistakes and expecting diff results,2016-03-24 04:37:47,2161,1436,en
let's fuck in a quesadilla,2016-03-24 04:32:43,1186,485,en
should i masturbate or text him,2016-03-24 03:55:10,1972,553,en
"listen, you're not doing either of us any favors by not being obsessed with me",2016-03-24 01:55:11,1621,784,en
only leaving the house so i don't eat everything in it,2016-03-24 00:50:22,1113,482,en
"""it just gives me a lot of anxiety"" --me about everything",2016-03-23 23:42:21,2672,1898,en
how could you do this to me dot com,2016-03-23 23:05:23,1466,810,en
10 moods in 10 minutes,2016-03-23 21:50:34,1622,1299,en
"i just need this one thing and then i will be happy

*gets thing*

ummm",2016-03-23 21:29:16,2261,1031,en
it takes me six months to have an orgasm,2016-03-23 21:21:50,1032,203,en
beware the fuckboy who talks about fuckboys as though he is not a fuckboy,2016-03-23 20:31:44,2485,1114,en
if you need me i'll be trapped inside my head,2016-03-23 20:25:22,1489,1089,en
"""when u get the dick haze it makes his tweets seem better"" 

talking w @believekarolina + angie lederwood on lit up

https://t.co/D6V1ZlEo4p",2016-03-23 20:13:36,77,12,en
people are interesting until you get to know them,2016-03-23 17:05:39,1638,874,en
"hi, i'm my own worst enemy, what's your name",2016-03-23 05:03:38,1384,838,en
masturbating and crying and eating,2016-03-23 04:45:13,2344,1209,en
are donuts feminist?,2016-03-23 04:29:14,967,511,en
"💀
ppl r asking where 2 get the so sad today book

it's on iBooks, Amazon, at Barnes &amp; Noble or find an indie store https://t.co/W7iCKKItnt
💀",2016-03-23 04:25:02,157,15,en
this shit ain't easy *points to existence*,2016-03-23 03:01:01,1324,757,en
it's weird that cheerios exist and we all die,2016-03-23 02:54:50,1232,583,en
let's roleplay you texting me back,2016-03-23 02:45:24,1770,823,en
wanna come over and compare suffering?,2016-03-23 02:21:52,1712,955,en
sext: let's sleep for 100 hours,2016-03-23 02:05:20,2024,1508,en
"""are you on drugs?""

""no I'm just fucked up""",2016-03-23 01:35:14,2229,1103,en
horoscope: you shouldn't text him but you will,2016-03-22 23:01:48,3365,1471,en
teach me how to do smokey eye and how to abandon all hope,2016-03-22 22:01:55,1125,497,en
oh yeah everyone keep having more kids that's a great idea,2016-03-22 17:51:32,1344,608,en
"hey i just met you and this is crazy but here's my book so buy it maybe 

https://t.co/AUeNDKod3u",2016-03-22 17:44:48,807,83,en
kind of in the mood for death,2016-03-22 17:41:52,1316,1026,en
in a relationship with a muffin,2016-03-22 17:35:15,1109,680,en
"life:
1. wake up
2. diagnose self with multiple diseases",2016-03-22 14:05:33,1880,704,en
you're good at sex and bad at love,2016-03-22 04:34:35,2970,940,en
a potato on twitter said it wanted to fuck me so of course i looked at its profile,2016-03-22 04:29:44,807,119,en
tested positive for existential aloneness,2016-03-22 03:55:11,1710,877,en
*flirts by ignoring*,2016-03-22 03:05:13,2484,1530,en
most love poems are about people who don't deserve them,2016-03-22 03:03:04,2409,1211,en
how about a makeup tutorial for feelings,2016-03-22 02:01:10,1603,939,en
one time i felt good about myself but i was in the womb,2016-03-22 01:15:22,1447,664,en
tired or dying: a novel,2016-03-21 22:22:01,1566,1172,en
i want a giant bouquet of dicks from which i can choose on any given day,2016-03-21 22:11:03,863,220,en
404 coping skills not found,2016-03-21 22:10:32,1151,712,en
when does the spaceship come back and be like sorry we left you here,2016-03-21 21:24:09,1512,1122,en
don't text and drive unless you're liking my shit,2016-03-21 20:42:10,1050,363,en
the Earth is kind of making fun of me,2016-03-21 18:10:41,973,549,en
bad ft. idea,2016-03-21 03:55:09,1788,1287,en
the best things in life aren't life,2016-03-21 03:05:10,1479,777,en
don't change for anyone unless they are really hot and ignoring you,2016-03-21 02:25:10,3568,1579,en
i am the cheese you binge eat in private while thinking about your fractured adolescence,2016-03-21 01:05:17,1561,615,en
"sorry, i prefer to eat alone in a dark corner",2016-03-20 22:10:23,1534,713,en
My Anxiety Is Forever And That’s Fine https://t.co/j71wydMIbW via @melissabroder @buzzfeed,2016-03-20 19:21:21,493,135,en
you've mistaken my low self-esteem for kindness,2016-03-20 18:05:24,2234,1055,en
so annoyed that fantasy isn't reality,2016-03-20 17:10:17,1496,1184,en
cause of death: yoga teacher in $150 leggings telling me the meaning of life,2016-03-20 15:10:17,2325,746,en
spoiler: your parents fucked you up,2016-03-20 05:55:17,2117,996,en
if hiding from life is wrong i don't wanna be right,2016-03-20 05:47:45,1414,838,en
he ignored me and it felt like a kiss,2016-03-20 03:57:25,2461,921,en
i did everything wrong today and i did it with low self-esteem,2016-03-20 03:50:13,1841,824,en
"are you more in love with the person or the memory of the person?

the memory, obvi",2016-03-20 01:10:19,2409,809,en
everything i thought was 'true love' was temporary insanity,2016-03-19 22:05:23,1960,862,en
