text,created_at,favorite_count,retweet_count,lang
get u a man who can do both https://t.co/VyA7U8g8om,2016-03-26 20:03:07,344,258,en
Me looking for all the fucks to give https://t.co/Rw0vSB0rT6,2016-03-26 19:28:01,629,291,en
“Have you had previous retail experience?” https://t.co/zngd22KfwO,2016-03-26 18:19:02,2012,844,en
when ur 17 years old and already having ur 75th mid life crisis,2016-03-26 17:27:03,1804,871,en
"When snapchat says ""added by phone #"" but you don't know them https://t.co/VOWpLfI5yF",2016-03-26 17:09:10,2193,945,en
the first date vs. when ur in a relationship https://t.co/7lIgsjlJxL,2016-03-26 04:06:00,3740,1420,en
College be like https://t.co/Wwq5TFNjAD,2016-03-26 02:40:08,2704,1300,en
holy shit https://t.co/5YZJcPZ6oC,2016-03-26 01:21:07,2325,822,en
me every morning https://t.co/2DWN4B6Lrm,2016-03-26 00:11:16,2115,1179,en
when someone compliments me and I don’t know how to react: https://t.co/FWt1vMjrCZ,2016-03-25 22:34:59,4033,1855,en
party at my house bring food then leave,2016-03-25 21:01:16,1730,1213,en
"My parents aren’t home
You know what that means
*sits in the living room instead of sealing myself away in my room*",2016-03-25 20:03:05,3098,1509,en
"""Babe all I did was like her pic."" https://t.co/gS3uGLtLMH",2016-03-25 19:28:13,2841,1029,en
my morning routine includes 10 minutes of sitting on my bed and thinking about how tired i am,2016-03-25 04:06:02,3034,1732,en
How I feel being younger than most of my friends https://t.co/DGE3wH1Wn3,2016-03-25 02:40:03,2972,1145,en
Me at this point of the semester https://t.co/03QJtRV55R,2016-03-25 01:21:01,1947,1243,en
"me: f*ck school, I don't even care if I'm late to class
bell: *rings*
me: https://t.co/qW0M0jInmb",2016-03-25 00:11:01,3471,1366,en
after I check my account balance https://t.co/VaOsbblZ9M,2016-03-24 22:35:12,1750,880,en
"Stalking my tweets won't tell u anything. i could tweet ""i'm so upset"" and be talking about how someone ate the last of the mac n cheese.",2016-03-24 21:01:59,2339,1492,en
When you stopped being someone's friend and then later you realize you made the right decision https://t.co/ajufaREZlb,2016-03-24 20:03:23,3593,1545,en
Do u ever just go a week or so without making any effort with ur appearance but then u realize u need to get ur shit together cos ur ugly af,2016-03-24 19:28:21,2248,917,en
I doubt vodka is the answer but it's worth a shot.,2016-03-24 18:19:01,2425,1321,en
"*opens fridge doesn't see anything i like*
there's never any food in this fucking house",2016-03-24 17:27:08,1268,572,en
when you want to get in shape for summer but life is hard https://t.co/MbkVDR2q2w,2016-03-24 17:09:16,3539,2453,en
when you get older and learn the family secrets and everything starts making sense https://t.co/NrewuUQuzS,2016-03-24 16:35:04,5942,3139,en
"mom: don't eat the cookies yet, they just came out of the oven and are too hot
me: fire cannot kill a dragon",2016-03-24 02:40:08,4887,2309,en
to people that sleep with their bedroom doors open:you are brave but you are going to die young,2016-03-24 01:20:59,3650,1850,en
Senior prank: drops out,2016-03-24 00:11:22,2217,1233,en
"Grandma: ""go to Zumba you'll love the music""
Me:  https://t.co/zpgu3QUIal",2016-03-23 22:35:13,2875,1568,en
Me when I finish doing makeup and someone comes near me https://t.co/TxUK9YKoHE,2016-03-23 21:02:01,2160,949,en
Use y=mx+b to calculate the slope of how down hill my life is going,2016-03-23 20:03:15,2088,1599,en
When your mom tells you to clean up before she comes home &amp; you haven't done anything yet &amp; you see her pull up https://t.co/UxPuSaq2IE,2016-03-23 19:28:01,3210,1514,en
i believe in annoyed at first sight,2016-03-23 18:19:14,1921,1585,en
When you wake up and your mom is already complaining https://t.co/XhGxnwodIK,2016-03-23 17:27:30,2364,854,en
when you see a puppy https://t.co/CGYG0EoJvw,2016-03-23 17:09:13,2704,2296,en
I’ll just ¯\ _(ツ)_/¯ my way through life,2016-03-23 16:35:12,1588,1441,en
"mom: how was school?
me: good
mom: then why I get a call from your teac- https://t.co/rNXrD2Tuoa",2016-03-23 04:06:06,1854,723,en
if u insult me i will probably agree,2016-03-23 02:40:20,2300,1550,en
"Grandma: ""Did your mom give you that $20 I left for you at the house?""

Me: https://t.co/Oevy5LAVbQ",2016-03-23 01:21:12,2571,946,en
An accurate representation of my love life https://t.co/wNNC9lBw3N,2016-03-23 00:11:03,2912,1512,en
When you're closing apps and you accidentally close the music app https://t.co/NqDyu6sHFA,2016-03-22 22:35:03,4729,2412,en
When you wear glasses for the first time https://t.co/TPrvLDmikR,2016-03-22 21:01:19,2283,987,en
