text,created_at,favorite_count,retweet_count,lang
"If you think *you* have the day-after-Todd-Barry's birthday blues, imagine how *I* feel.",2016-03-27 15:41:45,90,8,en
Today is my birthday. Please extend all courtesies.,2016-03-26 18:13:26,266,16,en
"Today: Charleston, SC - Mar 25 at Charleston Comedy Festival https://t.co/0rH547TxdX",2016-03-25 19:00:40,10,8,en
A couple of Garry Shandling memories. https://t.co/nEDrecR2Qv,2016-03-24 23:55:12,261,48,en
"This Weekend: Charleston, SC - Mar 25 at Charleston Comedy Festival https://t.co/HnG7EvgECI",2016-03-24 19:05:30,7,0,en
#UK Crowd Work shows coming soon...,2016-03-24 14:12:52,49,13,en
"#Charleston this Friday 
3/25 (day before my birthday)
@SottileTheatre 
Tickets: https://t.co/LvtCfqU2Ec",2016-03-24 03:14:13,11,4,en
This couldn't have been easy to admit.... https://t.co/8iDbalOPab,2016-03-23 17:07:38,111,15,en
"Yo @nottjmiller. You're in Charleston on my birthday. Day after my show there. Please cancel your show, so mine will sell out. Thanks.",2016-03-21 17:25:53,65,9,en
Yo @maineroot. Enjoyed 1 of your spicy ginger beers at #SXSW.  Please send free case to my NY penthouse. Sat. is my bday. #freestufffortodd,2016-03-21 17:13:27,66,2,en
Hey @SchickHydro. My birthday is Saturday. Please send a free razor &amp; lifetime supply of blades. I'm a @verified #celeb.  #freestufffortodd,2016-03-21 17:05:07,47,1,en
"#Charleston 
3/25 (day before my birthday)
@SottileTheatre 
Tickets: https://t.co/LvtCfqU2Ec",2016-03-20 22:34:29,10,7,en
Support your local indie coffee shop. https://t.co/e8l7TfFtt6,2016-03-20 17:42:17,185,26,en
"#Michigan tour!

4/27 #GrandRapids 
4/29 #Pontiac
4/30 #Lansing

Tix https://t.co/UfsPLRsvCp … … …",2016-03-20 16:39:59,19,6,en
"Damn, Scott Baio is on a roll! He just put in a good word for me at The @TheComedyStore!",2016-03-20 15:57:06,108,8,en
Hey @Delta @DeltaAssist. I'm flying your airline on my birthday. March 26. Please extend all courtesies.,2016-03-19 20:15:36,96,7,en
"My first ever show in #Kansas, April 21! #Mulvane #Wichita 
Tickets https://t.co/bBwKJms3Fl",2016-03-19 19:45:51,10,6,en
Fries 5 ways. @ The Comedy Works https://t.co/fiSJDMngdH,2016-03-18 23:11:19,24,7,en
Just got a call from Thom Yorke.  He was feeling overwhelmed due to massive tickets sales. Wanted to talk to someone who's used to that.,2016-03-18 18:52:27,300,32,en
"#MEMPHIS - 4/19 - @MinglewoodHall 
Tickets: https://t.co/eiIY955AzR …",2016-03-18 18:39:18,3,7,en
"The gap between the two ""My Big Fat Greek Wedding"" movies is longer than any standing ovation I've ever received!",2016-03-18 18:26:07,101,5,en
I don't know how to use Snapchat! Username: todd.barry https://t.co/zLn5rzJgvt,2016-03-18 00:17:43,38,11,en
"I don't like the way voice over dude in Geico ad says the second ""it's what you do.""",2016-03-17 20:15:04,51,8,en
"This Weekend: Albany, NY - Mar 18 at Comedy Works https://t.co/HwnJmt56SK",2016-03-17 19:06:52,11,3,en
"Today: Ithaca, NY - Mar 17 at The Dock https://t.co/MPESVHIWyZ",2016-03-17 19:00:07,1,0,en
#Ithaca tonight. Escape the shitheads with me @TheDockIthaca! Tickets: https://t.co/4DRiN9VZ6q,2016-03-17 17:01:05,8,4,en
Hey @brendonwalsh. This band named themselves after your jokes. #FTW https://t.co/KwC5HKheDM,2016-03-16 23:55:20,98,4,en
Look how crazy I look after trashing my Syracuse dressing room! @ THE LOST HORIZON https://t.co/MzBtZvGAq6,2016-03-16 22:48:52,10,1,en
"Tomorrow: Ithaca, NY - Mar 17 at The Dock https://t.co/NjUiRS27kH",2016-03-16 19:03:05,7,3,en
"Today: Syracuse, NY - Mar 16 at Lost Horizon https://t.co/DByjrtfqX5",2016-03-16 19:00:04,7,0,en
