text,created_at,favorite_count,retweet_count,lang
"Regrettable Phases 
- Rollerblader 1993-95
- Swing Dancer Aug 1998
- Beer Snob 2007-10
- Twitter Bad Boy 2010-14
- Twitter Heartthrob 2015-",2016-03-25 19:07:22,36,0,en
Conan O’Brien Remembers Garry Shandling https://t.co/RmcCiBnBXx,2016-03-25 13:44:25,8,5,en
"Just made a final car payment and now both cars are paid for. Feels good to *sound of tree falling on one car, motor exploding in the other*",2016-03-25 01:16:47,43,0,en
Family Photo 2002 #TBT https://t.co/8FloL2mbi2,2016-03-24 23:58:53,23,0,en
Happy #NationalPuppyDay https://t.co/CcHTda1oZZ,2016-03-23 23:12:05,101,38,en
"Watch ""Beats, Rhymes &amp; Life: The Travels of a Tribe Called Quest"" doc. Great story, great group. RIP Phife Dawg.",2016-03-23 13:14:48,15,3,en
"Just found out the ""V"" in  #BatmanVSuperman stands for ""visits."" Superman got a shore house, Batman spends the weekend.",2016-03-22 23:02:09,39,4,en
when your doctor says you must cut down on sweets but you sneak some Werther's Originals in your lunch bag anyway https://t.co/3Rmv73A9Kb,2016-03-21 16:19:40,418,117,en
"*wipes both Kit-Kat and potato chip crumbs off sweatshirt* ""Daredevil's fighting technique is bullshit because...""",2016-03-21 01:28:30,39,1,en
Peacefully riding my motorized stand-up vehicle on a trail then abruptly careening down a cliff was not the best Segway.,2016-03-20 18:46:55,22,0,en
"He peers down from the rooftops keeping the city safe, he's Dale Devil..

You mean Daredevil?

What? No, Dale Devilson, City Roofs Inspector",2016-03-20 02:08:10,25,4,en
My wife is taking a group of giddy 8-year-old girls and one excited boy to see Zootopia today. I'M GONNA EAT SO MUCH CANDY AND POPCORN!!!!!,2016-03-19 20:08:03,34,5,en
I ran two ultra marathons and felt like death but this is a whole other level. Watch the excellent @barkleymovie about a truly insane race.,2016-03-19 01:11:27,10,2,en
My wife is putting groceries away and I'm eating the last of the ice cream to help make room in the freezer. TEAMWORK!!,2016-03-18 22:28:46,76,18,en
Happy Birthday Grant Hart. Best. Singing. Drummer. Ever. https://t.co/qJQogF5jlT,2016-03-18 15:13:25,9,2,en
"""Great idea guys, I finally finished my bracelet"" 

""Dude, you mean bracket?"" 

""Ha yes, of course, bracket!"" 
(slowly slips hand in pocket)",2016-03-18 00:49:39,49,14,en
I feel like we're just one former Daily Show correspondent with an epic devastating takedown away from defeating Trump.,2016-03-18 00:04:31,41,8,en
My brave grandparents left Ireland in their teens to come to America with hopes of a better future and to escape really awful boiled food.,2016-03-17 15:57:42,59,16,en
Had my hands full 8 years ago today. Happy Birthday to my little pot of gold. https://t.co/tsR2GqIisZ,2016-03-17 14:22:16,65,1,en
I just bought wrapping paper at a stationery shop instead of CVS and now I can't afford my next mortgage payment.,2016-03-16 22:23:14,48,7,en
"""The Big Short"" Lego set is not very fun.",2016-03-15 01:21:53,41,5,en
Alaskans have over 100 words for Snowmobile Accident.,2016-03-14 22:43:07,45,5,en
"*tosses a filthy grey hoodie, a pair of baggy pants, and 2 over-sized t-shirts into a bag* 

""Time to make another movie"" - Adam Sandler",2016-03-14 15:00:20,47,10,en
"""Hi, I'm Johnny Rzeznik and when I want to spice up my salads I always use Goo Goo D'olives, the tastiest oli... wait... I can't do this.""",2016-03-14 01:21:49,113,23,en
So @Buick said they won't stop their endless commercials until someone buys one. I guess I'll take the hit &amp; get a Skylark. You guys owe me.,2016-03-14 00:49:51,26,0,en
Still amazed that 5 yrs ago I stole/replaced a painting with a forgery and no one has noticed the Mona Lisa is wearing a I ❤ JEFF necklace.,2016-03-13 03:56:31,28,2,en
I voice a lot of harsh critiques during Top Chef for a guy who cut his kid's frozen pizza with scissors tonight.,2016-03-12 04:24:59,28,2,en
"A great look back by @dbanthony at one of my all-time favorite records ""Oh! Calcutta!"" by @TheLawrenceArms Read: https://t.co/iKqtd8bhZ4",2016-03-11 18:19:58,2,0,en
when you're mad at your new best friend because he made you wear a jacket https://t.co/bfLdpBtJhH,2016-03-11 17:10:59,42,8,en
"Actresses with fun names to say 
- Vera Farmiga
- Famke Janssen
- Franka Potente
- Potatoe Faustino
- Fresca Polenta
- Farmtó Table
- Jackée",2016-03-11 02:46:46,34,5,und
"Did you know the 5 original members of GWAR are all on Twitter? #FF 
@chrismurphyusa 
@afbradstone 
@jimatdeltaco 
@CalmTomb 
@karentozzi",2016-03-11 02:19:20,23,0,en
"Thinking how insufferable a ""Waiting to digest a veggie burger before I go running"" post would be as a I wait to digest a veggie burger befo",2016-03-11 01:02:25,21,2,en
LOVING the old favorite Marvel characters appearing in the new  #CaptainAmericaCivilWar trailer! #spolier https://t.co/wqTrc2jZNN,2016-03-10 18:06:57,28,4,en
Popular indie folk rock group -- OR -- featured speakers at every web design conference? https://t.co/1OTangOCr7,2016-03-10 16:08:56,50,12,en
"We'll never know who the real 5th Beatle was but we're certain the 55th Beatle was Stu ""Cabbage"" McHugh who ran their merch table for 7 yrs.",2016-03-10 02:21:32,27,4,en
I bought a new spatula last night and it's pretty much the talk of the house.,2016-03-09 23:53:44,84,10,en
Would it kill vampire movie directors to throw in a couple relatable non-goth dad vampires kicking back in some khaks and a button down?,2016-03-09 02:00:49,62,18,en
Current Status: shredding with my kids https://t.co/B3jupBD8vb,2016-03-08 21:58:59,19,0,en
"My old dog is very scared of the vet. I just dropped him off there for surgery and got the ""don't leave me, bro"" face.

Tomorrow:  🐶 gets 🍕",2016-03-08 00:31:14,41,1,en
"""Rick Steves' Pickpocketing Your Way Through Europe"" was very insightful.",2016-03-07 02:00:27,31,2,en
"Wow, SNL takes a shot at racist Trump a couple months after they had him host and helped promote his campaign. Fuck SNL.",2016-03-06 20:01:38,57,8,en
No one hates my obsession with old video games more than my son Q*bert.,2016-03-05 02:02:31,76,11,en
Just waited an hour to get seated and I let my daughter play with my phone the whole time. I earned this 96-ounce margarita.,2016-03-05 00:18:51,43,0,en
"Would love to hear a #TopChef contestant say ""My family is a nightmare. The more I win, the more I get to stay away. That's my motivation.""",2016-03-04 02:09:16,48,5,en
I'm at my daughter's orchestra concert. A 5th grader wrote one of the pieces. The highlight of my 5th grade year was swallowing a quarter.,2016-03-04 00:23:46,37,2,en
Dave Grohl is taking a hiatus from the Foo Fighters to devote more time to his true love: getting classic rock stars to notice him.,2016-03-03 00:50:30,37,6,en
