text,created_at,favorite_count,retweet_count,lang
If anything I'm more of a cold mess,2016-03-26 20:24:35,86,27,en
"LADIES: instead of telling dudes who are hitting on you that you have a boyfriend, better to say ""I'd rather be alone forever than with you""",2016-03-26 05:31:39,676,198,en
Lol what if I started retweeting compliments tho,2016-03-26 01:20:15,56,2,en
I'm here to kick ass and eat ice cream but they're all out of kick ass so two scoops of salted caramel please,2016-03-26 01:07:45,184,44,en
Fuck yeah my dudes I'm going to SPACE 😎🚀 https://t.co/EqyjoyzhAJ,2016-03-25 22:10:36,141,10,en
"I am Ozymandias king of kings, look upon my perfectly curated Facebook feed ye mortals and despair",2016-03-25 18:36:08,126,21,en
"Can't spell Internet without ""intern who is working for free whilst drowning in college debt""",2016-03-25 04:45:15,220,41,en
"If someone would rather live in a squalid tent camp in Calais than return home, that should be enough to convince us that they're a refugee",2016-03-25 01:31:26,140,19,en
I'd never tell a troll to suck it because everyone's bad at it their first time and I'm too busy for bad head,2016-03-25 00:36:59,133,18,en
Do you tho https://t.co/VP4XSTtWPs,2016-03-24 22:27:24,17,2,en
Hello. Do you know who started #FlotusBars? I am writing a thing and would like to credit them,2016-03-23 19:22:38,11,1,en
"A lot of people are talking about Trump's tiny hands, but IMO we should focus more on how they're also joined up and damp like The Penguin's",2016-03-23 17:34:54,93,26,en
Rich enough to unthinkingly buy pine nuts or die trying,2016-03-23 07:37:00,68,5,en
Great job idiots. Everyone went and got those Hitler Youth haircuts ironically and now fuckin Donald Trump is gonna be president. THANKS.,2016-03-22 23:31:40,386,103,en
My Hair Will Probably Dry By The Time I Get There - a Siobhan Thompson Adventure,2016-03-22 19:24:15,155,7,en
Getting out of the sea where the beach is just a bunch of really sharp rocks #SaferThanATrumpRally,2016-03-21 21:42:21,69,8,en
I have a lot of strong opinions for someone who just licked yoghurt off her desk in front of a whole room of people,2016-03-21 20:39:35,165,29,en
Insane that someone thought that it was ok to name the most important musical instrument a Quiet Loud,2016-03-21 18:42:08,87,16,en
#selfie https://t.co/gpStIeEU9S,2016-03-21 18:00:19,68,10,und
Watching the disintegration of the Conservative Party like https://t.co/WsiQL2YFmD,2016-03-20 09:57:04,282,45,en
When I RT your good tweet https://t.co/KgqwQPcrqL,2016-03-20 04:14:02,84,2,en
When someone goes through my Instagram and likes every selfie https://t.co/GF911SBpqw,2016-03-20 03:06:12,110,16,en
When u only eat Cheetos and carrots for 20 years https://t.co/uQoARcne3t,2016-03-20 00:08:16,229,38,en
I just found this bunny on the street what do I do??? https://t.co/rxOm8M9rsy,2016-03-19 21:38:45,160,11,en
When I shut down a troll https://t.co/26tGDEQePK,2016-03-18 21:12:50,105,5,en
"If you're having a rough day, just remember that 'Balls balls Ball’s balls' is a sentence that makes sense in English",2016-03-18 20:00:59,137,51,en
Will Smith is probably my favorite person whose name is also a résumé,2016-03-18 18:32:02,97,14,en
Your Facebook friend who posts bad political opinions and pictures of her ugly-ass boyfriend is on Instagram as ILovePizzaGOP85,2016-03-18 01:25:40,157,18,en
Maybe this tweet will be the one that makes my parents get back together,2016-03-17 19:05:37,178,24,en
Happy people-thinking-naming-a-drink-a-Car-Bomb-is-funny day!,2016-03-17 16:30:10,100,32,en
Fuck. https://t.co/w0iryQRYRs,2016-03-16 23:42:40,216,62,en
A tide pen but for other people's tweets,2016-03-16 07:44:18,132,19,en
TFW you're part of the first wave of the alien invasion https://t.co/LYhDT8TRSY,2016-03-16 03:42:48,62,6,en
You guys remember John Edwards?,2016-03-16 02:13:34,93,5,en
"Just figured out my underwear is inside out AMA

(NOTE: please don't actually AMA)",2016-03-15 18:13:49,58,3,en
The inside of a red bell pepper? https://t.co/HBNTSdqKjb,2016-03-14 21:10:51,82,9,en
"You've gone too far this time, Palin https://t.co/J1JMKcfI9O",2016-03-14 18:31:24,154,21,en
"Say what you will about Trump supporters, they ain't grammar Nazis",2016-03-13 06:08:12,226,53,en
Every couple days I get annoyed that it's called the Paleo diet and not the Mesolithic diet and yet I have a boyfriend? I must be so hot,2016-03-13 03:56:52,164,8,en
"Paul Simon: a loose affiliation of millionaires and billionaires and baby--
*I pull off his mask to reveal... Bernie Sanders!*
Me: whoa nice",2016-03-13 03:05:21,54,3,en
Honestly the only good thing I can say about Trump is I bet he's never complained that a girl put him in the Friend Zone,2016-03-13 02:27:06,153,22,en
"Niel deGrasse Tyson: wow what if sex was painful?
Men: it is for cats and ducks!
Women: *side-eyes everyone so fuckin hard the earth stops*",2016-03-13 01:24:50,281,77,en
I wish people who go on about being in the silent majority would shut up about it,2016-03-12 04:31:54,160,44,en
My face when a Trump supporter @ replies me https://t.co/vzM3igVEgw,2016-03-12 04:12:35,439,75,en
One of the most delicious ironies of the English language is that 'fascist' and 'faggot' have the same root word,2016-03-12 03:32:59,84,20,en
Honestly if Trump can't even make it in the Chicago scene the chances of him booking a series regular role this pilot season is crazy low,2016-03-12 01:47:46,162,35,en
"Love to play a game in my head whenever a college is trending on twitter called ""Sports or Mass Shooting?!""",2016-03-12 00:01:14,121,28,en
Every actor who played an aspiring actor on Law &amp; Order was less successful than the character they were playing,2016-03-11 23:48:22,100,9,en
"MY TOP TWO THINGS TO DO WITH BRIDGES:
- walk across them with a cute boy
- burn them to the goddamn ground ;)",2016-03-11 23:34:06,138,27,en
"REPUBLICANS: I miss the days of Reagan, when drugs were bad and AIDs was good
ME: says 'nice' every time I see the number 69",2016-03-11 20:48:07,96,9,en
Tomorrow's #KatieFisherDay! Bake some cookies and give them to people you love! But eat a couple when they're straight out of the oven duh,2016-03-11 20:07:58,23,4,en
"SIGNS THAT SOMEONE IS A SOCIOPATH
- lies glibly and often
- doesn't yawn sympathetically
- puts you on their email list without asking you",2016-03-11 19:41:10,101,22,en
"Journalists: it's worrying that girls out-perform boys in education
Me: I count as a diversity hire even though I went to boarding school so",2016-03-11 19:15:13,67,5,en
.@JuddApatow what about a thing about a writer but also they're a mess call me I have ideas,2016-03-10 18:49:21,67,2,en
"*calls a press conference* we have now reached peak unicorn, please cool it with the unicorn shit",2016-03-10 06:21:11,82,13,en
"Just assuming that all of your #DemDebate tweets end with a silent ""but honestly I'll support either of them to stop Trump"" right?",2016-03-10 03:19:07,257,70,en
