text,created_at,favorite_count,retweet_count,lang
If I can't find the off switch on a lamp in 10 second then I lick my fingers and start unscrewing the bulb,2016-03-26 03:16:48,32,5,en
Watching recent Simpsons and it's finally hitting me how I time traveled from my teens into a dystopian future,2016-03-26 02:03:07,34,2,en
It will rock when Isis uses tensor flow and $20 of compute to do all its recruiting,2016-03-25 17:24:42,10,0,en
The only new knowledge here is that ironic racism can be used by the biggest companies in the world as long as it's air gapped by AI,2016-03-25 17:13:47,35,8,en
The final case is the one that happened. Predictable story ends predictably and Microsoft gets earned media for it,2016-03-25 17:11:59,6,1,en
"Or, more simply, that headlines about racism get shared a lot by young people and they were perversely using tays bad behavior for PR",2016-03-25 17:11:19,4,3,en
The question is what was Microsoft trying to demonstrate. That the Internet needs intervention? That it is unsafe for children?,2016-03-25 17:10:20,12,2,en
"Even if you did not know that experimentally, anyone with sufficient experience of the Internet could deduce it",2016-03-25 17:09:38,8,1,en
"Re: tayandyou, it's been common knowledge that AI trained on the Internet at large degenerates into racism and porn",2016-03-25 17:09:05,17,1,en
Watching a bat man and worrying about the possibility of a movie where cat woman isn't hot,2016-03-25 01:33:32,11,0,en
I am drinking a strong beer and petting a high quality cat,2016-03-25 00:42:43,141,10,en
Possible name for vegetarian cook off show: Beef and Broccoli,2016-03-24 22:53:20,32,3,en
"My father in laws car has satellite radio so we're listening to a deep house mix of ""Fast Car""",2016-03-24 11:35:41,63,1,en
I don't worry about skynet because I think anything smart enough to operate autonomously can also be crippled by addiction,2016-03-23 04:03:22,49,11,en
"Free futurology: viruses for artificial intelligence will capitalize on the same weakness in human learning, i.e., pleasure",2016-03-23 04:02:06,18,2,en
Almost had a great dog spot (three big dogs + one action dog) except one of them spotted me first. Ruined.,2016-03-23 02:52:25,14,0,en
I now revile not just the profession but the vocation of writing thanks to #Twitter10Years,2016-03-22 05:23:35,52,6,en
Only right answer imo but interested to know who's wrong,2016-03-19 03:18:13,1,0,en
It's extremely good when the mission of the official party of the left is to maintain the constant slow degradation that is the status quo,2016-03-16 04:31:40,58,17,en
I'm trying to look up the emails of some of the guys on naked and afraid so I can tell them I respect them,2016-03-14 05:17:35,33,1,en
"The 1000 monkeys on 1000 typewriters have finally struck gold, and it is called ""naked and afraid xl""",2016-03-14 05:05:51,26,3,en
"in case no one read the link, this is mo rocca's day job   https://t.co/ibGCdbmwHy https://t.co/3HePO6KjnH",2016-03-13 20:55:16,18,2,en
One thing ive never been able to figure out is mo roccas employment situation,2016-03-13 20:04:04,93,13,en
"Doing that classic Sunday routine of getting up with the baby at 3, drinking 20 oz of coffee, going to the gym, and puking on my groin",2016-03-13 19:08:37,49,5,en
"Today I will be schooling Obama on respect by writing a 500 word Facebook post and addressing him as ""sir"" in every sentence",2016-03-13 17:28:38,83,10,en
"Any sandwich you would put mayo on, would be better if you put cole slaw on instead - pg 71 of the secret handbook I'm writing for my kids",2016-03-12 20:55:15,59,5,en
Just learned yesterday was Opposite Day and that's why Hillary said Reagan helped fight AIDS and trump pinkertons should melt our hearts,2016-03-12 20:28:04,48,2,en
Naked and afraid is the only reality show I have enjoyed aside from date my mom and rock of love. But is not a dating show,2016-03-12 06:21:16,18,1,en
I'm watching naked and afraid xl in bed and drinking Kirkland signature beer and I've never been more me,2016-03-12 06:05:24,48,4,en
Just got too high and spilled a bunch of beer in my ear,2016-03-12 05:58:58,61,3,en
Love all the different things to read on Twitter https://t.co/DNSmmpm3tE,2016-03-12 05:54:41,52,7,en
if Hillary blames this on bernie via one of her social media proxies within the next 2 hours then she has my vote,2016-03-12 03:50:53,26,2,en
my weed store got shut down by the city so now i have to order weed from the delivery service that is incapable of providing an accurate ETA,2016-03-12 03:50:07,28,0,en
The train is eerily empty today.....is it a holiday....is it my anniversary...,2016-03-10 16:53:55,19,0,en
"Just ate a sausage that was, and no one should ever have to say this, too sweet",2016-03-10 15:43:15,54,2,en
Can't wait to argue with my kids about whether they should vote for the clone of Jerry Richardson or the algorithm used to price oil,2016-03-10 04:28:33,61,8,en
Killer Mike and the Bernard brothers is a good name for a gang of train robbers though,2016-03-09 15:55:06,74,6,en
but then i was also really excited about obama,2016-03-09 06:11:32,20,0,en
"as marcus aurelius advises in the meditations i try to refrain from excesses of emotion but i am, at present, ""feeling the bern""",2016-03-09 06:10:26,145,34,en
