text,created_at,favorite_count,retweet_count,lang
If Jesus sees his shadow tomorrow there's only six more weeks of Christianity,2016-03-27 04:58:18,256,55,en
I'm going to fucking crush Easter tomorrow,2016-03-27 03:18:23,127,11,en
"Life is an amazing, statistically impossible gift that is miserable the entire way through",2016-03-26 23:31:45,121,26,en
True Life: I was a child covergirl https://t.co/pWKsx4T5l8,2016-03-26 22:52:59,111,1,en
Shit just got real https://t.co/v4kRcUax9x,2016-03-26 05:06:11,62,0,en
Instagram is my favorite beauty competition,2016-03-26 04:56:29,41,6,en
"It's so heartwarming to know that right now, up in hell, Nancy and Ronald Reagan are fucking each other with the passion of newlyweds",2016-03-26 04:51:40,87,5,en
Ted Cruz fucked that bird,2016-03-26 01:19:54,97,8,en
"The best slur against a comedian is calling them an ""open-micer."" Cuts to the bone.",2016-03-25 19:53:06,62,4,en
"""I'm a little bitch who misses his parents"" -Batman",2016-03-25 18:49:24,92,20,en
Truly devastating to find out that more than one woman in the world finds Ted Cruz attractive enough to have sex with,2016-03-25 18:05:14,82,15,en
"""How dare you be disrespectful to my wife, Donald Trump! Also, gay people shouldn't have rights."" -Ted Cruz",2016-03-25 16:26:32,137,29,en
There are basements filled with Mountain Dew all over America where you can get killed just for saying Ben Affleck is the best Batman ever,2016-03-25 16:05:24,99,24,en
If you are feeling sad just watch Queen at Wembley in 1985 - https://t.co/IKlmw8DBOs,2016-03-25 05:56:03,27,0,en
"I have been pretty happy for awhile now, but I ate at Denny's today, so it's possible I am suicidal",2016-03-25 04:04:46,93,7,en
My dream is to be extremely successful but have too much anxiety about my success fading away to ever fully enjoy it or be happy,2016-03-24 21:37:49,126,25,en
Garry Shandling fucking ruled and was so funny for so long and we were lucky to have him. May more comedy be as good as what he gave us.,2016-03-24 20:47:46,66,12,en
I used to think comics shouldn't date other comics but now I think they should only date each other to save everyone else from dating them,2016-03-24 19:00:04,103,6,en
Do any of you know what my fucking problem is?,2016-03-24 06:03:41,147,28,en
"The weirdest part of @PatMcCroryNC signing that hateful bill into existence is we are having an affair, and it only happens in bathrooms",2016-03-24 04:10:44,59,10,en
"""I love bacon!"" -World's Most Interesting Person",2016-03-24 02:48:32,106,26,en
Anyone who is not a vegetarian is a loser,2016-03-24 02:18:12,108,31,en
Oops forgot to have a life outside of comedy,2016-03-23 22:56:24,87,2,en
The same people who proclaim marijuana is not addictive smoke it all day every day,2016-03-23 20:06:32,115,23,en
Fairly certain that nobody in ISIS knows where the clit is,2016-03-23 19:22:14,233,62,en
"If ghosts aren't real, then how do you explain the existence of ghosts",2016-03-23 17:28:29,238,109,en
If you are mad at someone you should do porn under their legal name so when they google themselves they have to see you naked all the time,2016-03-23 05:00:10,377,99,en
A million dollars isn't cool. Ya know what's cool? Recycling,2016-03-23 04:48:38,88,12,en
RT if you're planning on breaking up with your significant other in the near future,2016-03-23 04:41:17,52,7,en
This is the only tweet @kanyewest has ever fav'd. He rules. https://t.co/yHLYN6MnQz,2016-03-22 23:15:48,96,19,en
Hey what's up everybody superhero movies suck 98 percent of the time,2016-03-22 21:15:28,87,10,en
Batman vs. Superman vs. Alien vs. Predator vs. Trump vs. Bernie vs. Hillary vs. Drake vs. Meek Mill vs. Hitler vs. the New England Patriots,2016-03-22 21:07:18,112,29,en
I hate when I'm trying to be friends with a woman and she puts me in the sex zone,2016-03-22 18:44:08,184,39,en
Rob Ford was the most American-acting Canadian of all time,2016-03-22 16:41:26,89,24,en
A boy becomes a man when he stops masturbating to feel pleasure and instead does it to not kill random people,2016-03-22 06:40:33,186,35,en
I've never dated someone who had cooler friends than I have. Very unfair trade. They always get new amazing friends and I meet idiots.,2016-03-22 05:59:03,287,38,en
All of your greatest insecurities about yourself are true and all of your friends talk shit about you behind your back. You're a fraud.,2016-03-22 05:46:25,137,28,en
"If your girlfriend asks you what color eyes she has, just say ""mostly white""",2016-03-21 18:28:06,186,33,en
When I was younger I thought artists making things for the sake of art was so cool and now that I'm older I'm like grow up you artist loser,2016-03-21 06:19:35,126,9,en
The internet has done a truly excellent job of terrifying me into being a better person,2016-03-21 06:03:10,69,6,en
"I can honestly say I am entirely motivated by money, revenge, and ego, and it feels great",2016-03-21 05:51:48,132,29,en
How much money do you guys have in your checking accounts?,2016-03-21 05:46:53,62,0,en
I can't wait to be rich enough to get into Transcendental Meditation!!!!!,2016-03-21 04:56:32,157,16,en
Everyone who lives in New York City has Stockholm Syndrome,2016-03-21 00:03:18,101,18,en
I love when you tell people you're a vegetarian and the most out of shape idiots suddenly become experts on nutrition and protein intake,2016-03-20 22:41:37,220,36,en
"Overused words to describe comedy: raucous, hilarious, uproarious, outrageous, brutally honest, sharp, no-holds-barred, smart, funny",2016-03-20 22:37:25,91,3,en
"""I slept too much last night and now I'm still tired"" -Person you're legally allowed to assault",2016-03-20 17:56:40,71,8,en
"Happy birthday to the hilarious, hottest, most fuckable guy in comedy, @shawnpearlman!!!",2016-03-20 17:48:01,8,0,en
I don't respect anyone who isn't solely motivated by money,2016-03-19 22:26:33,96,10,en
The death penalty should not exist but it should be legal for a suicidal person to have the government kill them if they want it done right,2016-03-19 19:41:59,67,2,en
"I can't wait to get into a new relationship with someone, fall in love, fall out of love, break up, and then talk major shit about them",2016-03-19 06:35:48,115,16,en
"Do you all realize that one of the greatest directors ever, Stephen Soderbergh, is on Twitter under the name @Bitchuation and he's so funny?",2016-03-19 06:25:40,36,6,en
The staff at Gawker paid me $115 million to watch me have sex. They didn't even videotape it. They just wanted to watch.,2016-03-18 23:56:23,50,1,en
"If aliens aren't real, then who is sucking my dick right now",2016-03-18 20:36:40,183,47,en
"Everyone in LA who went to a liberal arts college is trying to get Radiohead tickets right now. We are boring, predictable people.",2016-03-18 17:01:48,137,18,en
Give your money to @joshgondelman for his new new stand-up comedy album or you will be sorry. Very very sorry - https://t.co/VBCH2dM6Q6,2016-03-18 16:57:09,15,5,en
"Nick Lachey's boy band was named 98 Degrees, which honestly isn't that hot. It's below normal body temperature. He's a fucking loser.",2016-03-18 06:31:57,130,24,en
Shout out to all those people who have never tried to have a career being creative who call other people sell-outs for trying to make money,2016-03-18 02:17:14,170,21,en
My cat just walked by me carrying a toy mouse I don't remember buying her. Women be shoppin!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2016-03-18 02:15:15,171,18,en
What will be your cause of death?,2016-03-17 22:36:35,12,7,en
RT if you're driving while texting right now,2016-03-17 19:33:58,29,7,en
If you turn on the radio and a Justin Bieber or Rihanna isn't playing you actually died a few years ago and are a ghost,2016-03-17 19:31:07,82,13,en
"Whenever someone puts ""Human Being"" in their Twitter profile, it's like wow I can't believe it, you definitely are super interesting",2016-03-17 05:48:30,123,13,en
"Nobody in LA has talked about this publicly yet, but there is a major epidemic of Avocado Toast running rampant at brunches in our fine city",2016-03-17 05:37:43,120,5,en
George Washington was America's first President and a loser with wooden teeth who didn't know where the clit was. Who cares,2016-03-17 05:34:47,57,7,en
Mozart sucked at making music,2016-03-17 05:32:26,25,0,en
Justin Bieber is a better musician than John Lennon,2016-03-17 05:29:52,47,4,en
If you're not winding down from your work day with weed and listening to Justin Bieber you are leading your life incorrectly,2016-03-17 05:27:07,64,7,en
"Only 8 more months of anxiety-inducing, fear-based media coverage of the Presidential election until we have a new President!!!!",2016-03-16 22:31:26,121,17,en
"If Trump, Cruz, Hillary or Bernie wins I'm gonna stay in the US &amp; try to get super rich so no election can ever have an effect on me",2016-03-16 22:16:33,114,19,en
Hillary supporters fuck harder,2016-03-16 06:06:00,48,1,en
It's crazy that people think Bernie Sanders wouldn't do horrible shit if he were elected President just like Hillary &amp; Trump or anyone would,2016-03-16 04:36:48,71,7,en
This election is doing what is best for America: turning friends into enemies &amp; making sure that no matter what happens most people are mad,2016-03-16 04:34:03,172,51,en
.@nathanfielder please tell me Donald Trump's presidential run is just an episode for season 4 of your show,2016-03-16 03:20:36,150,32,en
I was a guest on the @cracked podcast and we debated Cats Vs. Dogs. I was obviously on Team Cat. Listen - https://t.co/8lvimecjxB,2016-03-16 02:52:51,10,0,en
"To summarize today's political events, everyone continued to be garbage and America is hell",2016-03-16 02:31:32,114,28,en
America is so progressive https://t.co/CnBuUqG5Yz,2016-03-15 20:04:51,100,15,en
If heroin feels as good as getting your inbox down to zero I totally get it and will never try it for fear of being addicted right away,2016-03-15 17:54:55,89,4,en
So is your spelling https://t.co/LORCYAEua8,2016-03-15 17:14:39,35,0,en
"Watch #TheCharacters on Netflix - @paulwdowns, @kateberlant, @laurenlapkus, @HenryLovesYou &amp; @bejohnce are literally all genius level funny",2016-03-15 03:52:32,43,1,en
Here's an amazing image of Bernie Sanders helping Zelda fight back in the day. He's always stood behind his message. https://t.co/0A5SzAGUaB,2016-03-15 02:02:33,109,23,en
Loving this sketch written by and starring @davetotheross and directed by @brandonDMOB for @ComedyCentral - https://t.co/2zXgcACGQe,2016-03-14 22:15:40,11,2,en
"Here's a chill episode of ""My cat listening to Kanye"" to soothe your Monday blues https://t.co/w3LNojvkSn",2016-03-14 20:17:01,36,7,en
It sucks The Bachelor is going to be over tonight and all of you will have to stare into the emotional abyss that is your lives,2016-03-14 19:08:27,59,13,en
Watching porn on full blast on my iPhone at my dentist's office,2016-03-14 18:43:11,77,4,en
