text,created_at,favorite_count,retweet_count,lang
Turning Vegas orange during #HIMSS16 @PureStorage https://t.co/1OMgevThqi,2016-03-02 05:44:01,0,1,en
"Rock Paper Scissors and a turd? WTH android commercial...oh wait, one is a semi-valid rocket fuel  @Oscars_Live @MythBusters @donttrythis",2016-02-29 03:23:46,0,0,en
May the flash be with you in Raleigh! #purestorage #StarWarsTheForceAwakens https://t.co/etlGHaHk48,2015-12-17 23:58:04,2,0,en
May the Flash be With You #tampa #purestorage #starwars https://t.co/f07Dr24ZRJ,2015-12-17 23:56:47,0,0,en
Dallas Fireside chat with Analyst Scott Sinclair and Pure Storage field CTO Aaron Skogsberg #purestorage https://t.co/nKYTOoVnfz,2015-11-19 17:48:32,0,0,en
One of the many safety hazards on this truck #monsoonisnotimeforwiperfailure http://t.co/FgfyBh76YW,2015-10-04 11:38:47,0,0,en
"Just a little flooding, perfect day to move http://t.co/dwgzWOCSBS",2015-10-03 00:16:27,0,0,en
Love me some Southeast! #puresko http://t.co/wdcARq1FSj,2015-08-14 23:20:41,1,1,en
When #timewarner says you can just drop off the equipment at your convenience they mean you have an hour to waste waiting in line,2015-07-17 19:11:14,0,0,en
Slept 3 hours in the last 48 and have a guy on the plane who doesn't want me to recline 3 inches due to long legs. #payforcabinextra,2015-05-22 02:26:34,0,0,en
Worst experience @westin hotel park central Dallas.,2014-10-01 02:05:04,0,0,en
So not feeling the love at work today,2013-05-14 13:15:26,0,1,en
Our waiter is like a fortune cookie,2013-03-06 02:22:33,5,1,en
Today I drew a stickman version of the vitruvian man and put him in a checkbox. I get paid for this.,2012-10-18 19:37:14,0,1,en
Feeling very fortunate to have great friends,2012-09-12 15:46:55,0,1,en
Line for the mens room????,2012-08-30 04:39:37,0,1,en
Cheers to the random guy who brought us drinks #vmworld,2012-08-30 02:45:02,0,0,en
Awaiting the JBJ show in san francisco #vmworld,2012-08-30 02:18:45,0,0,en
Thinking of my Louisiana and Mississippi friends....hope you are all good,2012-08-29 04:33:32,0,0,en
Putting a sweater on in a plane is an amazing act of contortion,2012-08-27 12:20:43,1,1,en
"Xoxo, u know who u are!",2012-08-15 05:12:37,0,0,en
"Back at my hotel, had an amazing time!",2012-08-15 05:09:39,0,0,en
Learn Different Ways To Make Extra Money on the Internet http://t.co/PWtk6IZF,2012-06-11 13:52:28,0,1,en
"Make Over $100,000+ A Year Working From Home http://t.co/D2ta9n0t",2012-06-09 19:37:47,0,0,en
Easiest way to get started making money http://t.co/D2ta9n0t,2012-06-09 10:32:29,0,0,en
Earn money at home using the Internet http://t.co/ZATDtDW6,2012-06-08 13:55:55,0,0,en
How to get started making money from the comfort of your home http://t.co/PNdCCJ3C,2012-06-07 07:41:52,0,0,en
Earn Cash in Your Spare Time http://t.co/EqQ1I9ck,2012-06-06 15:36:02,0,0,en
Make An Incredible Income - Follow The Simple Steps http://t.co/EqQ1I9ck,2012-06-06 07:42:54,0,0,en
Make Money Right Away! http://t.co/PNdCCJ3C,2012-06-05 22:18:25,0,0,en
Giddy today...came up with perfect Halloween costume...,2012-02-20 16:30:09,0,0,en
House hunting again today...,2012-02-12 16:40:49,0,0,en
Wonder how many times the Cullen blvd sign gets stolen in Houston thanks to #twilight ?,2012-01-10 21:44:59,0,0,en
Merry Christmas,2011-12-25 15:01:58,0,0,et
"Yep, 5.2 magnitude earthquake in Oklahoma, felt in Dallas",2011-11-06 04:37:09,0,0,en
Was that just an earthquake in Dallas?,2011-11-06 04:05:25,0,0,en
Why do Midwesterners feel the need to take those of us who live in Texas out for Mexican food?,2011-11-03 01:24:12,0,0,en
Should technology marketers have mandatory social media training?,2011-10-24 18:10:54,0,0,en
Foggy,2011-10-24 15:13:12,0,0,en
Today is not my day....,2011-10-19 15:49:36,0,0,en
On to training in Santa Clara at EMC.  Can't wait to be home for a week after this,2011-10-17 17:37:26,0,0,en
During a hurricane...,2011-10-17 17:34:53,0,0,en
"Interesting week, just spent time in Mexico city learning about the tech market there",2011-10-17 17:34:37,0,0,en
Crepes and coffee in Addison...yum,2011-09-11 14:38:15,0,0,en
"Decisions, decisions, decisions today...",2011-08-09 17:34:51,0,0,en
Half price books on northwest hwy has plug in for electric cars...freakin awesome,2011-07-24 19:00:49,0,0,en
Customer immersion experience with the Weiner mobile...really must think through my mobile marketing analogies when over tired....,2011-07-16 00:42:09,1,0,en
Just heard someone say they sell software to companies that are likely to kill you,2011-07-13 18:37:01,0,0,en
"Kevin turner just announced EOL 2014 for win XP, office 2003 and ie6",2011-07-13 17:04:18,0,0,en
Waiting to hear Sir Richard Branson at #wpc11,2011-07-13 16:24:49,0,0,en
Watching Addison kaboom town from the runway,2011-07-04 00:43:06,0,0,en
Hour long security lines at 6:30am #DFW you had to have known with cancelling flights to open up all lanes,2011-05-03 11:45:28,0,0,en
Seth's Blog: The four horsemen of media--here comes tiny media http://bit.ly/gUTmMH,2011-04-18 02:13:31,0,0,en
"Headed to NC, so excited!",2011-04-08 21:56:34,0,0,en
Why must I be awake when I have been overtired and just wanting sleep for days..,2011-03-31 05:33:00,0,0,en
"Just attended an interesting tech talk on where technology is going in the future with social, web 3.0 and objects.",2011-03-23 01:17:20,0,0,en
So glad to be home...,2011-03-17 15:56:47,0,0,en
Headed to Microsoft roadmap event in San Francisco.  Looking forward to checking out slate to compare to my new ipad2.,2011-03-16 13:21:47,0,0,en
Wish I was still at sxsw instead of waiting for my delayed flight,2011-03-14 14:45:37,0,0,en
