id,text,author,creation_date,favorites,retweets,upvotes,average_favorites,max_favorites,average_retweets,max_retweets,average_upvotes,max_upvotes,follower_count,account_creation_date,type
33499,im gay and i &lt;3 pewp,degg,2013-05-26 20:59:24,128,24,0,193.66524338172502,14721,61.00597779675491,6697,0,0,60801,2008-08-17 21:30:14,0
7810,"When you &lt;&lt;&lt;&lt;&lt;&lt;&lt;

When I &gt;&gt;&gt;&gt;&gt;&gt;&gt;",atsignskylar,2016-03-13 08:27:51,2,0,0,1.5391621129326047,16,0.14754098360655737,6,0,0,266,2012-02-26 00:45:04,0
85599,Thursday's @freshoutla is a hot one! @myqkaplan @imandyhaynes @alexkoll @WeeMissBea @barryrothbart @ErinDeweyLennox! https://t.co/ESe6tD0Qnk,mremilyheller,2015-03-17 16:57:53,14,4,0,44.64343163538874,1247,10.00089365504915,860,0,0,30590,2008-09-25 01:08:19,0
142886,What do you call the small amount of time between when you slip on a peel and when you hit the pavement? ||| A bananosecond,polishprince76,2013-01-31,0,0,15,0,0,0,0,162.5540489213005,10017,0,0,1
184156,You guys wanna hear a potassium joke? ||| K,ELite_Predator28,2014-11-19,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
100012,"Laughing at Monica Lewinsky, call that Ha Ha Clinton-Dix

@LilWayneeTweets @AlabamaFTBL @HaHa_CD6",pdubslax,2013-10-20 23:21:13,1,1,0,2.01743679163034,22,0.23278116826503922,6,0,0,605,2011-10-03 22:04:45,0
54119,"the woman in front of me at the dr just asked for a pregnancy test,STD test, &amp;if they could tell her if she has diabetes pray for this woman",hellolanemoore,2015-11-14 19:10:48,102,3,0,89.16964980544748,2793,31.32451361867704,2505,0,0,25619,2011-04-24 19:51:11,0
35270,"*girl gets down on one knee*
Girl: ""I love you and well...""
*opens box revealing sharktooth necklace*
""will you marry me?""
Chad: ""HELL YEAH""",dilldoes,2015-05-05 05:46:50,55,11,0,49.45293072824156,1492,19.507992895204264,1161,0,0,6997,2013-07-29 06:28:13,0
170911,"What do you call an online relationship? ||| E-bae...

I'll see myself out",ctdewberry,2014-08-12,0,0,0,0,0,0,0,162.5540489213005,10017,0,0,1
68647,"reason i am proud of myself today: my pee is very clear. like, not yellow at all.",justaboutglad,2014-06-26 04:07:53,23,0,0,29.557642149191445,760,4.243088158581116,308,0,0,14528,2011-03-30 07:54:40,0
133641,http://t.co/4nPmxTWKw4,usedwigs,2015-10-06 13:54:41,35,8,0,36.99818181818182,1464,7.5218181818181815,745,0,0,9143,2008-08-07 16:32:49,0
181777,"a brunette, ad red head, and a blonde escape from prison ||| The three ladies hatch a plot to escape from prison by hiding in a laundry truck.  As soon as the truck stops, they jump out and make a run for it.
Being in the middle of nowhere they head for a plume of smoke that seems to be coming from a chimney.
Upon arriving at a farm, they hear sirens and dogs barking not far behind them.

In a panic, the ladies run into a barn and close the door.
Looking for a place to hide, they find three burlap sacks on the ground, and each one climbs inside a sack.

Hiding quietly, they hear the barn door open and the prison warden followed by three guards walk in.
the warden walks up to a sack and kicks it.  the brunette inside yelps, ""ruff, ruff, ruff!""
""eh, just some puppies"" says the warden.

the warden walks up to the sack where the redhead is hiding, kicks it, and hears ""meow, meow"", and says ""eh, just some kittens"".

So he walks up to the sack where the blond is hiding, kicks it and hears ""potatoes, potatoes!""",theloosestofcannons,2014-11-02,0,0,4,0,0,0,0,162.5540489213005,10017,0,0,1
50999,It'd be funny if they digitally added adult braces to every episode of Seinfeld,hamptonyount,2015-07-19 20:01:51,16,1,0,18.250752256770312,576,3.2377131394182546,190,0,0,8422,2010-06-07 08:39:44,0
116252,"""I LOVE DISCOUNT CHILI"" http://t.co/xJqhptZH5o",senderblock23,2015-09-09 04:45:40,2561,1405,0,133.6904761904762,6975,34.47895902547065,3340,0,0,37495,2010-05-28 06:33:36,0
92292,"bodily noises, unfamiliarity with societal norms",nytminuscontext,2015-09-07 13:19:01,311,178,0,331.4253266957063,2613,225.9673304293715,2627,0,0,95753,2013-11-12 03:15:23,0
