username,follower_count,creation_date
AndyRichter,746494,2010-07-11 19:53:21
animaldrumss,11278,2009-12-10 19:34:14
annadrezen,8003,2009-09-23 05:07:10
asterios,9258,2007-06-23 00:46:12
atsignskylar,266,2012-02-26 00:45:04
BassoonJokes,17612,2011-08-02 21:52:36
behindyourback,31799,2009-04-15 17:03:17
billyeichner,478914,2009-09-16 06:33:53
BobbyBigWheel,28636,2009-09-26 23:57:58
bornferal,26215,2010-12-05 22:53:11
briangaar,92096,2009-01-13 20:42:45
BuckyIsotope,88335,2011-10-31 17:35:45
Buncahn,8769,2011-11-01 21:10:17
ch000ch,114803,2011-01-24 17:14:48
chmurph,15233,2009-10-03 17:39:05
ConorTripler,24244,2010-02-23 20:11:32
Danielguywilson,212,2013-09-01 06:54:04
david_j_roth,15960,2010-07-27 03:58:13
degg,60793,2008-08-17 21:30:14
DillDoes,6998,2013-07-29 06:28:13
dogboner,58470,2009-08-03 02:31:10
dril,313025,2008-09-15 17:21:54
eastwes,2069,2009-10-01 15:13:03
electrolemon,66133,2008-07-06 07:54:20
fart,104987,2008-03-17 23:27:03
Fred_Delicious,122972,2012-08-28 19:38:31
GrowlyGrego,26598,2011-02-27 06:39:10
handsomeboiii,185,2012-03-19 21:02:16
hannibalburess,611435,2009-03-30 19:42:30
Home_halfway,44407,2012-06-12 16:25:41
hornymichelin,1832,2015-12-03 17:49:54
jazmasta,43039,2009-01-26 19:48:29
jess_hold,107,2009-09-20 16:38:53
jondaly,92578,2009-03-31 21:28:23
jonnysun,145162,2009-03-24 15:42:07
juliothesquare,1981,2011-12-15 23:13:05
KarenKilgariff,40860,2011-07-25 02:59:09
kevinseccia,22437,2008-11-08 02:34:01
lukeoneil47,12636,2010-01-25 16:40:01
marcellacomedy,8070,2009-09-30 02:42:37
maryhoulie,3177,2012-08-09 17:29:20
meganamram,500333,2009-04-25 13:05:18
memeoji,2683,2012-09-25 02:40:46
MomsAgainstGam,18631,2014-06-20 00:14:31
nickwiger,11566,2011-01-08 06:53:07
nihilistarbys,1290,2015-02-08 20:15:56
NYTMinusContext,95617,2013-11-12 03:15:23
oxnuxo,1551,2013-08-13 21:12:35
pakalupapito,1494073,2013-07-10 06:20:32
pdubslax,605,2011-10-03 22:04:45
ProBirdRights,259615,2011-12-28 01:48:16
rappingranny,3258,2011-10-04 14:19:12
RealCarrotFacts,238420,2013-01-09 18:36:21
recklessfarmer,643,2012-11-19 03:42:50
roryscovel,52545,2009-10-30 17:55:05
saraschaefer1,60536,2007-04-03 20:41:29
scharpling,100808,2008-12-01 02:36:33
Seinfeld2000,109187,2013-01-12 02:17:49
senderblock23,37498,2010-05-28 06:33:36
shelbyfero,119452,2009-04-25 00:59:11
shlancaster39,211,2012-06-04 11:39:27
shutupmikeginn,132432,2011-02-02 18:21:51
sonic_hedgehog,286850,2009-01-27 19:11:50
The_Cow_Says,16,2016-03-20 22:56:08
tinatbh,734314,2012-06-18 22:12:32
TotallyAllen,11100,2009-02-20 09:54:39
TVCommentBot,1698,2015-01-27 01:56:19
weedguy420boner,23277,2010-03-29 02:20:32
wolfpuppy,122,2008-06-18 00:55:45
zoeklar,11398,2011-03-29 16:55:03
BBW_BFF,26421,2009-08-22 03:11:05
curlycomedy,32749,2008-12-09 16:10:00
debradigiovanni,57883,2009-11-06 23:50:10
ericdadourian,7870,2009-03-11 21:03:20
HamptonYount,8422,2010-06-07 08:39:44
julieklausner,96033,2008-12-16 19:06:45
katiemcvay,3339,2009-03-05 03:32:34
NeilHamburger,85583,2009-04-11 19:36:35
usedwigs,9142,2008-08-07 16:32:49
